,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.0093422380051967,0,0,0,0,0.102284008022728,0,0,0,0,0,0,0,0.151390130108451,0,0,0,0,0,0.0812793472613339,0,0,0,0,0.128260939855617,0,0,0.162272704574555,0,0,0,0.118063361088895,0.0544444160348882,0,0,0,0.00760618512968578,0,0,0,0,0,0,0,0.0334962920234135,0,0.0585897212161896,0,0,-0.0509516925448757,0
X002142.CH.EQUITY,0.14511720852013,0,0,0,0,0.154548989046515,0,0,0,0,0,0,0,0.237573071977942,0.0607429801823343,0,0,0,0,0,0,0,0,0,-0.0762357171639493,0,0,0,0,0,0.263224039704384,0,0,0,0.0889559082831635,-0.109128121948583,0.0328442970257596,0.149348503958207,0,-0.29256887139859,0,0,0,0,0,0,0,0.09777240924855,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.151265245093346,0.608552866051244,0,0,0,0,0,0,0.399943713761992,0,0,-0.00193594804729192,0,0,0,0,0,-0.230009463174247,0,0,-0.121444637510223,0,0,0,-0.142603922502387,0,0,0,0,0,-0.0101790467158451,0,-0.133447672376174,0,0.265460845370368,0,-0.0757109631289645,0,0,0,0,0.00288124004614408,0,-0.0435684431727501,0,-3.46944695195361e-18,2.16840434497101e-19
X600015.CH.EQUITY,0,-0.0702952275281201,0,0,0,0,0.0992660336647472,0.413987639318174,0.200152253737505,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.320300620660782,0,0,0,0,0.0284406977508481,0,0,0,0.0735780522420883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.295029496498648
X600016.CH.EQUITY,0,0,0.0638058183416104,0.262735377938213,0,0,0.111715426095964,0,0,0,0,0,0.132554273254544,0,0,3.46944695195361e-18,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0570164970736893,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.082127327974228,0,0,0,0,0,0,0,0.52573165123363,0,0.104713500797365,-0.0334558498138287,0,0,0.0114365701412168,0,0,0,0,0,0,0,0,0,0,0,0.202336899295731,0,0,0,0,0,0,0,0,-0.246128001457975,0,0,0,0,0,0,0,0,0.204709140984483,0,0,0,0,0.092635728656481
X601166.CH.EQUITY,0,0,0.176611025539133,0.00449488842183753,0,0.260031386881799,0,0,0,0.281682767401628,0,0.132075428428032,0,0,0,0,0,0,0,0,0,0,0,0,-0.213443245468103,0,0,0,0.0673481353556714,-0.0423067618303277,0,0,0.0827962772498625,0,0,0,0,0,0.261876777811687,0,0,0,0,0,0,0,0,0.0177917056468318,0,0,0,0
X601169.CH.EQUITY,0,0,0,0.828781313739728,0,-0.146597724389527,0,0,0.0132089788816112,0,0,0,0,0,-0.0422488333693603,0.00247969069695714,0,0,0,0,-0.120082212107942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248298427438535,-0.0398263832424263,0.528630763596832,0,0,0,0,0,0,0,0,0,0,0.160842978886182,0,-0.021617256136685,-0.083247092550174
X601229.CH.EQUITY,0,0.0296784266469225,0,0,0,0,0,0,0,0,0,0.485102857814711,0,0,0,0.129271769579949,0,0,0,0,0,0,0,0.131740024238954,0.0665058443441613,0,0,0,0.0370626717546417,0,0,0.0124045616429844,0,0,0.201698040852223,0,0.0931880882223628,0,-0.0029539296257647,0,0,0,0,0,0,0,0,0,-0.0894313957937748,0,-0.205764668536157,0
X601288.CH.EQUITY,0,0,0,0,0,0,0.727230287737585,0,0,0,0,0,0,0,0,0,-0.475432299397381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.191938362802086,0,0,0.195270618194175,0,0,0,0,0,0.0311506548774777,0,0.143310412633106,0,-0.290519767836453,0,0,0,0.287185542365542,0.222552982075333
