,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.0678366027403356,0,0,0,0,0.275669152404635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163410808640043,0,0,0,0,0,0.136147326592668,0,0,0,0.18505399562382,0,0,0,0,0,0,0.00982207178914635,0.101807470388813,0,0,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.237020616064304,0,0,0,0,0,0,0,0.375302201867274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888534990981285,0,0,0,0,0.041709570318499,0,0.0177266465572139,0,0,0.00727150282561164,0.107208260731097,0.0398686380134776,0,0,0,0,0
X600000.CH.EQUITY,0.0305164329448368,0,0,0,0.0503944219055485,0,0,0,0.0539425613699821,0,0,0.303851732847549,0,0.0484160560322193,0.126809549616649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0232270784491128,0,0,0.0726915912150735,0,0,0.111831595500585,0,0,0,0,0,0,0,0,0,0,0.0253870897950058,0,-8.67361737988404e-19,0,0,0,0
X600015.CH.EQUITY,0,0.0465822859065407,0,0,0.0138863415840272,0,0.204734983002401,0.258784145829853,0,0,0,0,0,0.116410791352743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0.263737382108529,0,0,0,0,0,0,0,0.126723958425246
X600016.CH.EQUITY,0,0,0,0,0,0,0.121489259636689,0.0592271645699284,0.12270138920254,0.129727443561259,0.312967131934462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259575409226937,0,0,0,0.203126926404478,0,0,0,0,0,0,0.062355174280527
X600036.CH.EQUITY,0.0437554469499943,0.271550407689524,0,0,-1.73472347597681e-18,0,0.162938426150248,0,0.0257560254302507,0,0,0,0,0.0530868302467893,0,0,0,0,0,0,0.0734470839787919,0,0,0,0,0,0,0,0,0,0,0,0,0.106075355830403,0.265349087626003,0,0,0.0784622039379358,0,-0.023309161306653,0,0,0,0,0,0,0,0,0,0,0,0.0274930340614862,0
X601166.CH.EQUITY,0.0558151601205274,0,0,0.103308108752392,0,0.436139388432246,0,0.0108470699726002,0.0101832016991934,0,0.0526788751897849,0,0.226451485861044,0,0,0,0,0,0,0,0.0488485913173807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381450030823891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0.114603195767069,0,0.413800985970055,0.0702838303215617,0.0329325717424901,0,0,0,0,0,0,0,0.0626650006141709,0,0.0484522670467311,0.137501472446754,0,0,0,0.0464469771566958,-0.0452674912464727,0,-0.0289152150627168,0,0,0,0,0,0.213335390852584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0541051587726252,0
X601229.CH.EQUITY,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372926178824376,0,0,0.183134672834914,0,0,0,0,0,0,0,0.190270158563745,0,0,0,0,0,0,0.0694970933732815,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.194028656320397,0,0.0508373527539833,0,0,1.73472347597681e-18,0,0,0,0.309379389965319,0,0.059400899282919,0.186949767146432,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.119239477063996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00595191058992538,0,0,0,0,0,0
