,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.127313077003898,0.121712308062482,0,0.116601290838891,0.128538398144611,0,0,0,0,0,0,0,0,0,0.0751412112396964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123368147454642,0,0.0485605807452617,0.06849496026523,0,0,0.0446650831445808,0,0.0331577801084521,0,0,0,0,0,0,0.0142361048808951,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0.167401197237107,0.565851376119773,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281113218914751,0,0,0,0,0,0,0.051445175812986,0,0,0,0,0,0.0116382653739015,0,0,0,0,0,0,0,0,0,0.246978351082264,0,-0.00771695273175534,0,0,0,-0.209549917370728,0,0,0,-0.042404357435709,0
X600000.CH.EQUITY,0,0,0,0,0.114869523531419,0,0,0.296373183651753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263350136627975,0,0,0,0,0,0,0,0.0687110755119511,0,0,0,0,0.060029400197824,0,0.657590514015475,0,-0.0238094037130664,0,0,0,0,0,0,0,0,-0.0237427059620931,0
X600016.CH.EQUITY,0,0.152372992621519,0,0,0,0.107622354692332,0,0.0506744961572487,0.125075450927517,0,0.0454659904736132,0,0,0,0,0,0.187627883293521,0,0,0,0.14040644002512,-0.0607157044202487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118622385029185,0,0,0,0,0,0,0,0,0,0,0,0,0.0235541406723025,0
X600036.CH.EQUITY,0,0.213734040410031,0.138804745532559,0,0,0,0,0,0,0,0,0.363996064822426,0,0,0,0,0.135247979848746,0.0309228758875064,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0226022078378015,0,0,0,0.0183935541280702,0,0,0,0,0,0,0,0,0,0,0.0751424430474892,0,0,0,0.0711059363217559,0,0
X601166.CH.EQUITY,0.145642343628684,0,0.0765021552036834,0.0543652118103421,0,0,0,0,0,0,0.0304623483865006,0.00292241768501057,0.553343053468749,0.0169733181237169,0.0558887697119543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116322857903274,-0.0318660005341447,0,0,0,0.0337694899365308,0,0,0,0,0,0,0,0.0930656551574641,0,0,0,0,0,0,0,0,0.0360579854590526,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.991770563897045,0.0654664111943624,0,0,0,0,0,0,0.299048088292241,0,0,0,0,0,0,0,0,0,0,0.436340785928599,-0.116715215969243,0,0,-0.153667407400521,0,0,0,-0.0979068041314897,-0.00834017505518787,-0.0755265616595668,0,0,0,-0.17855420112874,0,0,0,0,-0.138032782132118,0,0,0.123364118538736,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0.0194076210484747,0.0175280241733647,0.0283452129857599,0.864316053137736,0,0,0,0,0.039305490701068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0993337003071176,0,0,-0.0858991432021247,0,0,0.0664916525830958,-0.153257232068989,0,-0.0132220459827988,0,0,0,0,0,0,0,-0.0374417874934046,0,-0.0062830956388859
X601328.CH.EQUITY,0,0,0.0445435006645735,0.414568692069536,0.0459881236233646,0,0.252112286857452,0.0669279022734942,0,0,0,0,0.0211639566920785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00762818417553262,0,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0.194886488391772,0,0,0,0,0,0,0,0,0,0,0,0.721959699222937,0,0,0,0,0,0,0,0,-0.11398592112164,0,0,-0.302496724492506,0,0,0,0,0,-0.0173282623926675,0,0,0,0,0,0,0,0,-0.0262931763955245,-0.218183932534977,0.0222648044015836,0,0,0,0,0,0.484465090252478,0,0,0,0
