,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.512700053301342,0,0,0.330242763981625,0,0,0,0,0.0542255378949062,0,0,0,0,0,0,0.312251961036634,0,0,0,0,0,0,0,0,0,0,0.0612729209781247,0,0,0.0257085032461972,0.0850482468394966,0.014777679333109,0,0,0,0,-0.180889637776537,0,0,0,0,0,0,-0.036823580686324,0,-0.25917722883349,0,-0.10472803119283,0,0.113692522756592,0,0
X002142.CH.EQUITY,0.0381936565107765,0,0,-0.102239890964835,0.254568603022795,0.0994727077464864,0,0.103373019883697,0,0,0,0,0,0.133920903953903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2640259510159,0,0,0,0,-0.0409131324710228,0,0,0,-0.0230174074658697,0,-0.0530059875491615,0,0,0,0.00967161585888303,0,0,0,-0.0124831861755516
X600000.CH.EQUITY,0,0,0,0,0.0630438776283954,0,0.0195050240141118,0,0,0.483665798905758,0,0,0,0,0.0843666798145699,0.0908668528789166,0,0,0,0,0.0467304715864397,0.0515264475076788,0,0,0,0,0,0,0,0.035190253620914,0,0.0244392593318223,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0.0193235035479559,0,0,0.0723508743146495,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.155431710450981,0,0.230304579005622,0,0,0,0,-0.528760690889504,0,0,0,0,0,0,0,0,0.722579808027518,0,0,0,0.0229521881292201,0,0,0,0,0,0,0,0.186349837713951,0.147186332765334,0.0347112289584964,0,0,0,0.0377766846417871,0,0,0,0,-0.0789791629459041,0
X600036.CH.EQUITY,0.210743639299734,0.186946177179411,0,0,0,0,0,0,0,0,0,0,0,0.0351708135631589,0.197835991633591,0,0.0162927918269657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0767737337040939,0,0,0,0,0.256537635915895,0,0,0.157527374113448,0,0,0.0331450311570017,0,0,0,0,0,0,0,-0.0243921453939692,-0.0307572018980011,0
X601166.CH.EQUITY,0.310463684953453,0,0,0,0,0,0,0,0,0,0,0.379709743871143,0.0947172895352384,0,0,0.0582208323116695,0,0,0,0,0,0,0,0,0,0,0,0,0.014840709367012,0,0,0,0,0,0.00486600236133133,0,-0.00718513460467704,0,0,0,0,0,0.0482627557582227,0,0,0,0,0,0,0,0,0.0447953700129949,-0.0910091547182098
X601169.CH.EQUITY,0,0,-6.93889390390723e-18,0,0,0.08677222251428,0,0.250968982009294,0,0.262129004649923,0.0204042977743002,0.0703963906382259,0,0,0.0688377892425152,0,0,0,0,0.136809181001394,0,0,0,0,0,0.00676882450912042,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0224097299058304,0,0,0.0202044635517416
X601229.CH.EQUITY,0,0.105353249429033,0,0,0,0,0.132363215155018,0,0,0,0,0.328951749968833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117198043574697,0,0,0,-0.256861796389647,-3.46944695195361e-18,0.331178746018851,0,0,0,0,0,-0.0206562924383557,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0244015079491192,0.334159061130254,0.123613598339601,0.0333224517238899,0.178289945562801,0,0.132031841030584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151688215551559,0,0,0,0,0.127919461098038,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.220575446758463,0.302728035706461,0.00956261682321827,0,0.00263178590633088,0,0,0,0,0,0,0,0,0.0149204164408196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190704715019189,0,0,0.0454780321910993,0,0,0,0,0,0,0.0594567546476495,0,0,0,0,0,0.0312252877246626,0,0,0,0,0
