,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.157766060471439,0,0.141056993839306,0,0.078384940016834,0.00202209978263767,0,0.162482967341854,0,0,0,0,0,0,0,0,0,0,0.395211634911709,0,0,0.0242337571381433,0.354615234792788,0,0,-0.319795160215664,0,0,0,0,0,0,0,-0.152401451193467,0,-0.0612699009730221,0.117744752022345,0,0.0333103583108134,0,0,0,0,0,0,0,0,-0.101894841246735,-0.0577647845908786
X002142.CH.EQUITY,0.174108828431955,0,0,0,0,0,0.0344128939795826,0,0,0,0,0,0,0,0.192587851334789,0,0,0,0,0.0151958473239341,0,0,0,0,0,0,0,0,0.1219400395985,0,0,0,0,0,0,0,0,-0.0106414380666184,0,0.00171706471033876,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.0600199804542559,0.0265750472410978,0,0,0.0763722830620822,0.241557694095343,0,0,0,0,0.389170638078792,0,0.0920909491127277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0792813499176245,0,0,0,0,-0.00257343639739893,0.0503364173627976,0,0,0,0,0,-0.0244886175514285,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0,0.32488332508136,0,0,0,0,0.304515019212188,0.0302619904218735,0,0,0,0,0.0532520208021622,0,0,0,0.0689321980624141,0,0,0,0,0,0,0,0.163995703535118,1.73472347597681e-18,0,0,0.056731466451472,0,0,0,0,0,0,0,0,0,0,-0.048759900209468,0,0,0,0
X600016.CH.EQUITY,0,0,0.197950937017434,0.172944771328833,0,0,0,0,0,0,0.353920465530188,0,0,0,0,0,0,0,-0.0684539171447325,0,0.102432068783998,0,0,0,0.059388826683852,0,0,0,0,0,0.144793738158878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0868999291636298
X600036.CH.EQUITY,0.301526053131193,0.0646822125495466,0.0924728141345663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232610958614395,0,0,0,0,0,0.000750594830723317,0,0,0,0,0.328484719904142,0,0,0.0104754501512731,0,0.0115205469785867,0,0.0413147080477742,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.0186966095438566,0.356920544299637,0,0,0,0.159926687463068,0,0,0,0,0,0.227253618364411,0,0,0.156512494730738,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.212444523690494,0,0,0,0,0,0,0.3833300369879,0.0376614693559988,0,0,0,0,0,0,-0.142417080128658,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0.21678562952803,0.577716610441578,0,0,0,0,0,0,0,-0.0128470742637298,0,0,0.18410632907315,0,0,0,0,0.0485790211140358,0,0,0,0,-0.00912308607968041,0,0,0,0.119285202851661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,-0.0521862524300599,0.00405121833844755
X601229.CH.EQUITY,0,0.0805108683707752,-0.150914636576006,0.237787995229533,0,-0.127742820570907,0,0,0,0.368966801634939,0,0,0,0.203949953817384,0,0,0,0,0.169429631620329,0,0,0.141924802948319,0,0,0.125547801678892,0.00794089999322126,0,0,0,0,0,0.332751000326572,0,0,0,-0.0931135988227991,0,0,0.0422297089092153,0,0,0,0,0,0.0954421701826869,-0.353782089020962,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.0190793555652134,0.160447032616905,0,0,0.448712653398934,0,0.165880794301587,0.0587476171862565,0,0,0,0.158420267343552,0,0,0,0.108212067627222,0,0.0382076269607005,0,0,0,0,0,0,0,0.0457660748460257,0,0,0,0.0190931582763162,0,0,0,0,0,0,0,0,0.0643138421365809,0,0,0,0
