,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0.158471924438161,6.93889390390723e-18,0,0,0.0144153852712174,0,0.389519858595303,0,0.0125150632645104,0.0169625692605407,0,0.253531847057847,0,0,0,0,0,0,0.000288955396556451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0414839638485213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.0500028982549807,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0.0989655840517756,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.036698349976817,0,0.179726494806573,0,0,0,0.391703671821056,0,0,0,0,0,0,-0.000948815987710142,0,0,0,0,0,-0.0493469758956919,0.0743167198023662,-0.159092026681855
X600000.CH.EQUITY,0,0,0,0.339687902706311,0.407061330716613,0,0,0.0390361277790614,0,0,0.0583296685045197,0,0,0,0,0,0,0,0.0828676036558865,0,0.0241112845867786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0.0167218428898925,0.256389481730015,0,0,0,0,0.350376590862639,0,0,0,0,0.0313147673106724,0,0,0.138820082046066,0,0,0,0,0,0,0,0,0,0,0.037573363313725,0,0,0,0,0,0,0,0,0.0912949034861464,0,0,0,0,0.0492572370008635,0,-0.00397392264161043,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0.306275154168346,0,0.0305440606900928,0.153017465023786,0,0,0.130816476131633,0.179881679461978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113999173596359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0.0352845851184038,0,0,0,0
X600036.CH.EQUITY,0,0,3.46944695195361e-18,0,0,0,0.0218151423754553,0,0,0.0547784864342118,0,0.0978083196798581,0.0978520796501804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114020699316095,0,0,0.0137070078003058,0,0.0800181850823569,0,0.0180697871811621,0.0799828213478842,0,0,0.0268266170187096,0,0,0.203229894598388,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.230553118124021,0,0,0.0661198260081037,0,0.154393548693495,0,0.0402398700956794,0,0,0.351457538612879,0.0885297851376493,0,0,0,0,0,0,0,0,0,0.062886294469019,-0.0712769708529732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0447309439688662,0,0,0,0,0,-0.00208463136614528
X601169.CH.EQUITY,0,0,0.177375854733144,0.330904361914205,0.0417359696357233,0,0,0,0.0775412055800807,0,0,0,0,0,0.0506606616127497,0.155940964262531,0,0,0,0,0,0,0.141983995072863,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.00437912720704329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0.100176629829383,0.140042379454865,0,0,0,0.0397356921501413,0,0,0,0.358721755140012,0,0,0.180634821076915,0,0,0.0827714722633608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0717144332568616,0,0,0,0
X601288.CH.EQUITY,0.0963525760270262,0,0,0,0,0,0,0,0,0,0,0.320702398008452,0,0.124968030169385,0.381548530773733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372950746023051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.140184321244277,0,0.480270211948397,0,0,0,0,0,0,0,0,0,0.303299487377577,0,0,0,0,0,0.031004558938569,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0.0321287959077206,0,0,0,0,0,0.0303776085952013,0,0,0,0
X601398.CH.EQUITY,0.334706555490773,0,0,0,0,0,0,0.00985832254513802,0,0.436668052690079,0,0,0,0,0,0,0,0,0,0,0,0.127465460008409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00484511622528263,0.0648630229502745,0,0,0,0,0,0,-0.0398891466829903,0,0
X601818.CH.EQUITY,0,0,0,0,0,0.14157604943106,0.33699412994351,0,0,0.0395205574570609,0,0,0,0,0,0.433052661265179,0,0,0,0,0,0,0,0,-0.028489784157071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0.074943243625331,0.383883725318405,0,0,0,0.136532544559687,3.46944695195361e-18,0,0,0,0.280454408212766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0691621213686431,0,0,0,0,0,0,0,0,0.0173190364587777,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0933883795325089,0,0.0235037617423712,0,0,0.0492680855165129,0,0.177208805670968,0.238508793772614,0,0,0,0,0,0,0,0.097968468771361,0,0,0,0,0,0,0,0,0,0.101501569177713,0,0,0,0,0.0650500819883063,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.074161817898312,0,0,0,0
X601998.CH.EQUITY,0,0,0,0.268234871348304,0,0,0,0,0,0,0.384975639023544,0,0.201603675489377,0,0.0399039181332228,0,0,0,0,0,0,0,0,-0.0156838524527278,0,0,0,0.0160277008671253,0,0,0,0,0,0.198021370234514,0.0112867802357699,0,0,0,0,0,0,-0.013418914740101,0,0,0,0,0,0,-0.13959095800789,0,0.00308303606757539
X601658.CH.Equity,0,0.227560938779066,0,0.734372249808015,0,-0.0444675393466582,0,0,0.484266237631397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,-0.102691446090335,0,0,0,0,0,0,-0.360939360656639,0,0.216953073715478,0,0.0686291719781762,0,-0.18173156892059,0,0,0,0,0,0,0.0980405431163687
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04301192164404,0,0.872182368972962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0997437943816489,0.248024280840203,0,0.145636888810093,-0.181444514230026,-0.231632485795299,-0.00828179767764688,-0.324027225254904,0.149053793367875,0,0,0,0,0,0,0,-0.0252196708816937,0.0687653602114275
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0622578321075217,0,0,0.109485949121073,0,0,0,0.464851145652651,0,0.0462961405224476,0.050859924652821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206044955845111,0,0,0,0.0700349261418372,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.682351338430773,0,0,0,0,0,0,0,0,0,0,0.0935720148899586,0.227764525231804,0,0,0,0,0,0,0,0.0863761327074003,0.3123185014958,-0.00743568688136875,0,-0.646202459657187,0,0,0,0,0,0.696475423546916,0,0
X000166.CH.EQUITY,0,0,0.0096338310730409,0,0,0,0,0,0,0,0,0,0.0294248897648619,0,0,0,0,0,0.0150639186513622,0,0,0,0,0.21198032733695,0.113940904456763,0.325114205793713,0.18035983349616,0,0,0.116192136854831,0,0,0.0534622953054285,0,0,0,0,0,0,0,0.00597756657340738,0,0,0,0,0,0,0,0,0,-0.0222091344622007
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033117031720817,0,0,0.143468899503501,0,-4.33680868994202e-19,0.0138263218717149,0,0.337872138303345,0.309786445262345,0.0538860462221406,0,0,0,0,0,0,0,0,0,0,0,0,0.126138436074299,0,0,0,0,0,0,0,0,0,0.021780900968929
X002736.CH.EQUITY,0.131625109521338,0,0,0,0,0,0,0,0.0399360849329,0,0,0,0,0,0.00227812993077149,0,-0.0387076343481767,0,0,0,0.0900239562621532,0.296513764107951,0,0,0,-2.71050543121376e-20,0,0.0253378508841246,0,0.298133756193444,0,0,0.0326139863968503,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0930766011274495,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075619555791697,0.266089024398834,0.0849451353014433,0,0,0.311451543295102,0,0,0,0,0.0771662993871882,0.201037348153953,0,0,0,0,0,0.00039943217741327,0,0,0,0,-0.0480425717148214,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0.0137022744622375,0,0,0,0,0,0,0.0515516663925847,0,0,0,0,0.293031973931496,0.0487722466503307,0.077646891550838,0,0,0,0,0,0.360256347606739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028202938728765,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229251189528352,0.167311596477123,0.175848737097794,0.0199778519151301,0.0362643620075375,0,0,0.00556054679636778,0,0.110343189562243,0.31246327720289,0,0,0,0,0,0,0,0,0.108531725643767,0,0.0263968797487186,0,0,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0.108141009436757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279957765174574,0.0998771654359494,0,0,0.32349176702187,0,0,0.0846180031482774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00390725769648926,0,0,0,0.0123970777355483,0
X601066.CH.EQUITY,-0.0931398319421779,0,0,0,0,0.116337813330723,0,0,0,-0.200305759707991,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.88026219279139,0,0.20217422893277,0,0.112809061672165,0,0,0,0,-0.101167496414816,0,0,0,0.125777028602434,0,0,0,0.156701355274355,0,-0.106476927122617,-0.0387121552444111,0.0506965953333933,0,0,0,0,0,0,0,-0.0330458647483138
X601211.CH.EQUITY,0,0,0.0197604334831818,0,0.143006362506797,0,0,0.343505161770915,0,0,0,0,0,0,0,0,0,0,0,0,0.0341185533816493,0,0,0,0.0588704056248918,0.115542056259524,0.245394733963572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,-6.93889390390723e-18,0,0.153053780588116,0,0.0758212024860846,0,0,0,0.153484939861439,0,0,0,0,0,0,0,0,0,0,0,0.189975684888582,0,0,0,0,0,0.165458062032035,0,0,0,0,0,0,0,0,0,0,0.0160246006966848,0,0,0,0,0,0.0759969489175209,0,0,0,0,0,0,0
X388.HK.EQUITY,0.162677190545939,0,0,0,0,0.0150136720077775,0,0,0,0,0,0,0,0,0,0,0,0,0.156005585492258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0745876478443091,0,0.0323449289439939,0.113094551202243,0,0,0,0,0,0,0,0,0,0,0,0.178897617535291,0
X601318.CH.EQUITY,0.29894509879545,0,0,0,0,0,0,0,0.121915453030217,0.0843632843223256,0,0,0,0.203574170514441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0695380037543837,0,0,0,0,0,0,0.0214649752902521,0,0,0,0,0,0,0.146902575110504,0,0,0,0,8.67361737988404e-19,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0.0200020137398693,0,0,0,0,0,0,0,0,0,0,0,0.0312243351975534,0,0.114750934048698,0,0,0,0,0.0678638392508272,0,0,0,0,0,0.578960083944912,0,0,0,0,0,0,0,0.139450695779695,0,0,0,0,0,0,0,0,0.00993493344834853
X601336.CH.EQUITY,0,0,0.218505117771807,0,0.167496289856306,0,0,0,0,0,0.0432874957743551,0,0,0,0,0,0,0,0,0,0,0,0.222007297827779,0,0,0,0,0,0.0509144535879306,0,0,0.0193009636105332,0.0149209746731919,0,0.14986099769848,0.00866859546756349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0.0254331094121666,0,0,0.312248673715847,0,0,0,0.0864793666943735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303859402067331,0,0,0.130870540994239,0,0.034216827567591,0,0,0,0.000644103439878799,0,0,0,0.0126330042671094,0,0,0,0
X601628.CH.EQUITY,0,0.00340925121457894,0,0,0,0,0,0,0,0.145961039990691,0,0,0.251504478607408,0.262605382666987,0,0,-0.00772057422804394,0,0,0,0,0,0,0,0,0,0.0648896928809031,0,0,0,0,0,0,0,0.0677907585704347,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0.036396155218255,0,0,0.0247619863284406,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0552068517542396,0.0966971307908479,0.0356976167461069,0,0,0,0,0,0,0,0,0,0,0.0258222739954516,0,0,0,0,0,0,0.3698693872443,0,0,0,0,0.107512878713727,0.0541834202887219,0,0,0,0,0.168477537616198,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375255705214828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176256796773124,0.241708324828627,0,0,0,0,0,0.119101531776712,0,0,0,0,0,0.109326193291941,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0.138874864811404,0,0,0,0,0,0,0,0,0.237724172736163,0.0957896679401768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344674939528829,0,0,0.134051533641289,0,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0570886153671883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.599855791368674,0.0147826988731884,0,0,0,0.12374434643118,0,0,0,0
