,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,6.93889390390723e-18,0,0,0.110861526854998,0,0,0,0,0,0,0,0,0,0.314905378325415,0,-0.0245603796216146,0,0,0,0,0,0,0,0,0,0.0500835604757557,0,0,0,0.283884906541394,0,0,0,0,0,0,0.0958802588487104,0.0950696455879847,0,0.00708182995228877,0,0.0763143534947031,0,0,0,0,0,0,0
X002142.CH.EQUITY,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398006872112789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0598374185357015,0,0,-0.0514365770752016,0.174912211186544,0.0476452081714091,0,0,0,0,0,0,0.178330043705881,0,0.0329366566953933,0
X600000.CH.EQUITY,0,0,0,0,0.16544906529616,0,0,0,0.123041608476317,0,0.332117634551718,0,0,0,0,0.213559695514025,0,0.00896675307997305,0,0,0,0.113669892025555,0,0,0,0,-8.67361737988404e-19,0,0,0.0221828293270464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0.018458015955367,0,0,0,0,0.455482919690389,0.0829131287118726,0,0,0,0,0,0.180088572504046,0,0,0,0,0,-0.0203740309371836,0.0136434533170649,0,0,-0.00033699342743002,0,0,0,-0.101749807782904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314057133159399,0,0,0,0,0,0.00862504901878084
X600016.CH.EQUITY,0,0,0.213471466185943,0.00409131143371822,0,0,0,0.142893350933143,0.174150294958204,0.107072530361825,0.203183262762735,0,0.0854450607309246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0560860125027067,0,0,0,0,0
X600036.CH.EQUITY,0,0.0825536646844928,0,0,0,0,0.38203403837677,0,0,0,0,0,0,0,0,0,0,0.0518341576556834,0,0,0.27338898669259,0,0,0.0544309857725077,0,0,0,0.124085897490815,0,0,0.00562181537761222,0.0404005679184535,0,-1.73472347597681e-18,0,0,-8.67361737988404e-19,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.124064658911169,0,0,0.0643933036846318,0.0442558967752766,0.270270981094919,0,0.101095223752342,0,0,0.098880138630261,0.0376417142421445,0.149979866853213,0.0704396769234163,0,0,0,0,0,0,0.032726793587165,0,0,0,0,0,0,0,0,0,0,0,0,0.00280233973933619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250669753270922,0
X601169.CH.EQUITY,0,0.0456255828575775,0.109005204199744,0.373907203447008,0.0729065502559891,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0.10058496250337,1.73472347597681e-18,0,0,0,0.00601610116089272,0,0,0,0,0.226971717859837,0,0,0,0,0,0,0,0,0,0,0,0,-0.00790611742007401,0,0.0911855771374104,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0.136373247409212,0.403621280693033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194148864646754,0,0,0.0371768849434024,0,0,0,0.133096940124499,0,0,0.0247199991318161,0,0,0,0,0,0,0,0,0.0498262307997756,0,0,0,0,0.00523794754576372,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.0159576730839876,0,0,0,0,0,0.0643497381340251,0,0,0.450002431402438,0,0,0.209359951979346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264238773248126,0,0,0.170188068420379,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199326989296538,0,0,0,0
