,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.148228841673254,0,0,0,0.197931650884084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144043921394728,0,0,0,0,6.93889390390723e-18,0.147421420580698,0,0,0,0.0888961477070288,0,0,0,0,0,0,0.0767767156452794,0,0,0,0.176894614166415,0.00994122132041393,0,0,0,0,0,0,-0.100641000616827
X002142.CH.EQUITY,0.265211959837036,0,0,0,0,0,0,0,0.368829510070703,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0885427604205568,0,0,0,0,0.0389781179700982,0,0,0,0,0,0.106779584053006,0.0349568211323326,0,0,-0.00388459102719013
X600000.CH.EQUITY,0.0496180346322346,0,0,0,0.0928567252064074,0,0,0,0.0529857266887708,0.134003211620051,0,0.198807048748795,0,0.0331469673918388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05310645798414,0,0,0.0922961554154442,0,0,0.164826896829055,0.0142389872702932,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0
X600015.CH.EQUITY,0,0.13745365889869,0,0,0,0,0.189971102106916,0.10897946546923,0,0,0,0,0,0.27710603946097,0,0,0,0,0,-0.0522629489667808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259936404799447,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.104648282016642,0,0,0,-6.93889390390723e-18,0.0393423095667674,0.118355019780384,0.0551360356155575,0.334296822545732,-3.46944695195361e-18,0,0.0813327465296745,0.0397953796761897,0,0,0,0,0,0,0,0,0,0,0.0419127836069844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02655919625764,0,0,0,0.246359876275953,0,0,0,0,0
X600036.CH.EQUITY,0.00724802119629502,0.282361251761365,0,0,0,0,0.198912215802747,0,0,0,0,0,0,0.0667426316466844,0,0,0,0,0,0,0.0989733729309118,0,0,0,0,0.0467294462534282,0,0,0,0,0,0,0,0.0709830772715355,0.27292365609497,0,0,0.00585750068289971,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.0557673349804747,0,0,0.102194144502095,0,0.435000840642058,0,0.0106814829863876,0.0101181664604623,0,0.0524463026413542,-8.67361737988404e-19,0.225367204846484,0,0,0,0,0,0,0,0.0487824485519305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381534917113778,0,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0.153061815824757,0,0.461181380126233,0.0440339463336095,0,0.140262276215315,0,0,0,0,0,0,0,0,0.00812593713057149,0.154819051814778,0,0,0,0.0251296108589136,-0.0631155268013732,0,0,0,0.157048894071528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00829119059334136,0,0,0,0,0,-0.031202121628478
X601229.CH.EQUITY,0,0.0727694703101776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250125078397261,0,0,0.252291655464234,0,0,0.0340027847842232,0,0,0,0,0.148389778523878,0,0,0,0,-6.93889390390723e-18,0,0.127422344583021,0,0,-0.0179390793391136
X601288.CH.EQUITY,0,0,0.19248790360534,0,0.0484211071763213,0,0,0,0,0,0,0.299441032832181,0,0.0883735287436147,0.179883244766852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123785995233208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
