,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.248556085726485,0,0,0.52107598208862,0,0,0,0,0,0,0,0,0,0,0,0.132960049979034,0.0575472304810355,0,0,0,0.108453486572852,0,0,0,0,0,0,0,0,0,0,0.151804502367321,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.0596389987030985,-0.245757983700165,0,0.0370395462514971,0,0
X002142.CH.EQUITY,4.33680868994202e-19,0,0,0.159499919882213,0.907315379151422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.150289118154591,0,0.189306678433032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.211295139295453,0,0,0.0592437529827087,0.0857681765252812,0,0,0,0,0,0,-0.147470780411132,0.0161939753964468,0,-0.0208372728587338
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.277585307528386,0,0,0,0,0.36976249421403,0,0.0721617373728365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2418691852401,0,-0.0195941372147754,0.690541282484445,0,0,0,0,0.0641954416109116,0,0,0,0,0
X600016.CH.EQUITY,0,0.354282722839536,0.0483662346032089,0,0,0.0579789246530654,0,0,0,0,0.0256901461823849,0,0,0,0,0,0,0.025112024912998,0,0,0.27247121208594,-0.254958703943531,-0.00186552407674676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154012554414971,0,0,0.057100843936039,0,0,0,0,0,0,0,0,0.257152013006916
X600036.CH.EQUITY,0.187765653988845,0.215059207213162,0.0187805928749376,0,0,0,0,0,0,0,0.241855138745668,0,0.222412112594661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429046199652718,0,0,0,0,0,0,0,0,0,0,0,0,0.00974392519403631,0,0,0,0,0,0
X601166.CH.EQUITY,0.0326836266174028,0,0.0146035697297352,0.0285198579261198,0,0,0.274394599599041,0,0.0243364641229667,0,0,0.105804525487698,0,0.111115315885932,0.333018512109141,0,0,0,0,0,0.0196965621702315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193956019824197,0,0,0.0627809573222004,0.00670435974815028,0,0,0,0,0,0,0.0505431213440038
X601169.CH.EQUITY,0,0,0,0,0,0.00995900624343726,0,0,0,0,0,0,0,0.715688471263094,0.184962535055504,0,0,0,-0.124203979309677,0.0041094463510905,0,0.10703081129732,0,0,0,0,0,0.0680344254240576,-6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.0364996920462346,0,0,0,0,0,0,0,0,-0.0443028090732656,0,0,0,0
X601229.CH.EQUITY,0,0,0,0,0.497465711810867,0,0,0,0,0,0.203713204879293,0,0,0,0,0,0,0,0.277083190512125,0,0,-0.0241038092015131,0,0,0,-0.289762774695568,0,0,0,0,-0.0521663119427857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011414788284224,0,0,0.284072931929854,0.0971946636122301,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.00801444621917444,0.175161784082289,0,0.81256405414137,0,0.0929386555555054,0,0,0,0,0.00100475338356446,0,-0.0337187532100251,0,0,0.0717885285321945,0,0,0,0,0,0,0,0,-0.0437521640357464,0,0,-0.0777388148416731,0,0,0,-0.159716732774211,0,0,0,0,0.0165416021149886,0,0,0.0354464308490377,0,0
X601328.CH.EQUITY,0,0,0.184467630874301,0,0,0,0,0.128875096164123,0.054460503517429,0,0.203272980393373,0,0,0,0,0,0,0,0,0,0,0.133898647214146,-0.0709178543158406,0.0220536545144981,0,0,0,0,0,0,0.0360101489558186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0679469640327057
X601398.CH.EQUITY,0,0,0.0112204543403722,0,0.214606110797143,0,0,0.365195163602894,0.555715328582564,0,0,0.125298013687456,0,0.0143369924582051,0,0,0,0.0233112136308584,0,0,0,0,0,0,0,0,0,0,0,0,-0.0796618048372803,0,0,0,0,0,0,0,0,0,0,0,-0.00783534283390851,0,0,-0.0678970308698678,0,0,0,-0.0382345288201789,0
