,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.0747360046510514,0.0147005183861131,0,0,0.21722013964048,0,0,0,0.0616254360118498,0,0,0,0,0,0,0.0541760595397198,0,0,0,0,0.158909364776528,0,0,0,-0.0386645937864765,0,0,0,-0.0707352841470855,0,0,0,0,0,0,0,0.0304034227196522,0,0.354328451525892,0,0,0,0,0,0,0,0,0,0,-0.0467202083796568
X002142.CH.EQUITY,0.236141917196857,0,0,0,0,0.140683904455301,0,0,0.147381882775405,0,0,0.0859165425321318,0,0,0,0,0.268752692451136,0,0,0,0.0201037559931005,0,0,0,0,0.087363918424551,-0.30453020224471,0,0,0.180595348406292,0,0,0,0,0,0,0,0,0,0,-0.0817112603434385,0,0.0397670718405267,0.0312910193954904,0.0327435572232022,0,0,0,0,0,0
X600000.CH.EQUITY,0.10959827960457,0,0,0.3521297289417,0,0,4.33680868994202e-19,0,0,0.0816027638221101,0,0,0,0,0,0,0,0.207508470737861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251247923393886,0.0600918790445676,0,0,0,0,0.00975331595536787,0,0,0.0404391005079256,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0,0.0328469906730303,0.117648275190012,0,0,0.362755881785999,0,0,0,0,0,0,0,0,0,0,0,0.270319534774445,0,0,0,0.0961500353972401,0,0,0,0,-0.106353212604169,0,0,0,0,0,0,0.0330916676598113,0.0842488976737107,0,0,0,0,0,0,0,-0.0804311334555813,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0.0435590893535059,-0.459203663201295,0,0,0.0955976101430079,-0.128385612331139,0,0,0,0,0.0207339282883827,0,0,0,0,0.344237686560913,0.0813101254159093,0,0,0,0,0,0.0649540233413105,0,0,0.0494411696565979,0,0,0.050878801228412,0,0,0,0.174170830609003,0.182852615897787,0,0,0.144964925811613,0,0,0,0,0,0.249652947162488,0
X600036.CH.EQUITY,0.295369423081701,0.178260619514488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207525649419578,-0.0457962486021782,0.400682798972077,0,0,0,0,0,0,0,0,0,0,0,0,-0.0521491430945083,0,0,0,0,0,0,-0.0301930094873771,-0.0841361676583236,-0.0314026486124601,0,0,0.0392742091587102,0,0,0.12462546911762,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0.294934593036218,0,0,0,0,0,0,0,0,0,0.356147567262447,0,0,0.0217342707278386,0,0.096150132418988,0,0,0,0,0,0,0,-0.140770367271071,0.0273877066935937,0,0,0,0.199911799460474,0,0,0,0,0,0,0,-0.0724517023289426,0.122108389074113,0.0144660009684133,0,0,0,0,0
X600926.CH.EQUITY,0,0,0,0,0,0,0.139526728698505,0,0.131225938377063,0.126911420050561,0,0,0,0,0,0.0692924591838628,0,0.409600792843061,0,0,0,0,0,0.0803013418312609,-0.0598010151056852,0,0,0,0.0081829296939309,0,-0.052680480164194,0,0,0,0,0,0,0,0,0,-0.244816807414491,0,0,0,-0.0953120267155049,-0.0278798448776471,0.0881436862683563,0,0,-0.00199840898102742,-0.143343434559622
X601009.CH.EQUITY,0,0,0,0.152086604066164,-0.0489813526343823,-0.0438869091566811,0.0279660778559537,0.264911758949985,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.142341946172664,0,0,0,0,0,0.0405308142713208,0.100014629064891,0,0,-0.0317757148272089,0,0,-0.034721549036541,0,0,0,0,0,0.168309756425129,0.00378102761000414,0,0,0,0,0,0.179310538395264,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.541685830568849,0,0,0,0.102417753945373,0.0588360817842851,0.116518972875961,0.231854759260765,0,0,0,0,0.00417788427653108,0,0,0,0,0,0.0622144134151707,0,0,0,0,-0.19274435346455,0,0,0,0,0,0,0,0,0,0,0.215578651788074,0,0,0,0,0,0,0,0,0.0293646440522307,0,0,0.0601448187963214,0,0,0,0
