,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2887.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X000002.CH.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0,0,0.11564689281902,0.0217042484522636,0,0,0.0169802488625511,0.399525386145564,0,0,0,0,0,0,0,0,0,0,0,0,0.00801732900601394,0,0,0,0,0,0,0,0,0,0.0728432736916026,0,0,0,0,0,0,0,0.079922224758898,0,0,0.0547156776889898,0,0,0,0,0.0562545691717488,0,0
X002142.CH.EQUITY,0,0,0.14715345824773,0,0,0.198580020447206,0,0.197700409616165,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.0059127487180149,0,0,0,0.0731574734980505,0,0,0,0,0,0,0,0,0,0,-0.0725362919864971,0,0,0,0,0,0,0,0,0,0.194306830999055,0,0.00216146988997568,0.123725950806862,0,0,0.086525998778534,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.0817945283041145,0,0,0,0,0,0.367414388929201,0.0631654719836086,0.0983957789670789,0.283999146302683,0,0,0,0,0.0118726688407225,0,0,0,0,0,0,0,0,0,0,0.0109807802941983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000427892865964931,0,0,0.0805182251526926
X600015.CH.EQUITY,0,0,0.156479703586964,0,0,0,0,0,0,0,0.130102078539134,0,0,0,0,0,0,0,0,0,0.102745165524357,0,0,0,0.593357375896311,0,0.119350356630057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261510264408696,0,0,0,0,0,0,-0.0574700505074795,-0.101098396349462
X600016.CH.EQUITY,-2.16840434497101e-19,0,0,0.185363377083838,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0.341377116040435,0,0.107767627041185,0,0,0,0,0,0.246846070873839,0,0,0,0,0.0141630280344342,0,0.0238010703669074,0,0.0432294831701739,0,0,0,0,0,0.0612385898010252,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.324900163084568,0.136498957159037,0,0,0.0936147960727292,0,0,0,0,0.0374368308739748,0,0,0,0,0,0,0.0896463702839779,0.0574486664944082,0,0,0,0,0,0,0,0,0.214806100403278,0,0,0,0.129437378032987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488756880048145,0,0,0,0,-6.93889390390723e-18
X600919.CH.EQUITY,0,0.0832828342110064,0.0302563143553176,0.200326047937813,0,0,0,0.480253453693192,0.0368207606514739,0,0,0,0,0.083017986375258,0.0202854786506202,0,0,0,0,0.0694404038831114,0,0,0,0,0,0,0,-0.0732500428082867,0,0,-0.0635447106529985,-0.0011593520305314,0,0,0,0,0,0,0,0,0,-0.142638684821071,0,0,0,0,0,0,0,0,0.063045640301778
X600926.CH.EQUITY,0,0.105580511205554,0,0,0,0.0777807414697608,0.401844225605154,0,0,0.00349908442110217,0,0,0.114414394005435,0.109975164896619,0,0,0,0.00663994652244971,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,-0.0618578873574796,0,0,0.204163189705928,0,0,0,0,0,0,0,0,0,0,0,0,-0.213353367835895,0,0,0,0.0761923279793484
X601009.CH.EQUITY,0,0,0,0,-0.0655139273452555,0,0.526826373601634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217439084491454,0,0,0.067827234082055,0.177937319793172,0,0,0,0,0,0,0,0,0,0,0,0,0.273749074533524,0,0,0,0,-0.050249612894901,0,0,0,0.111923725229725
X601166.CH.EQUITY,0,0.19631092811439,0,0,0,0.320922417113564,0.153658523233863,0,0.0326113331240523,0,0,0,0,0.0690379375571783,0,0,0,0,0,0.0231713392186154,0,0,0,0,0,0,0,0,0,0,0,0,0.0244869072503428,0,0,0.0502813926705457,0,0,0,0,0.182331481649813,0,0,3.46944695195361e-18,0,0,0,0.0050039188851083,0,0,-0.0344543344386761
