,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.189240643781375,0,0.0798299638867215,0.0539575931542895,0,0,0,0,0,0,0,0,0,0.0857275140413176,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103739076476646,0,0.180816510172273,0.120038060446819,0.068306777509513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.277401884223034,0,0,0,0.359130600383936,0,0,0,0.0179723485109818,0,0,0,0,0,0,0,-0.131249240386379,0,0,0,0,0,0.279970299085407,0.0146297026736155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00564267716854782,0,0,0,0.112093266615688,0,0,0.0522418046483239,0,0,0,0
X600000.CH.EQUITY,0,0.00888111171141358,0,0,0.0973277394701506,0.171668098116909,0.0720106286443108,0,0.210555401209619,0,0.0861719159544945,0,0,0,0.123400560816428,0,0,0,0.00744162413468188,0,0,0,0,0,0.00202795876021314,0,0,0,0,0.0366911195922943,0,0,0.0780559591777239,0,0,0,0,0,0,0,0,0,0,0,0.0530723937383454,0,0.0530070445481223,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0.261166601346642,0,0,0,0,0,0,0,0.0780722009079694,0,0.396613143184382,0,0.165060558559182,-0.0607698904172453,0,0,0,0,0,0.282737810695434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013489923602457,0,0,0,0
X600016.CH.EQUITY,0,0.0208315213557548,0.0859895645800344,0.357903372721485,0,0,0.246949619046067,0,-6.93889390390723e-18,0,0.144350073321143,0,0.0512396558367009,0,0,0,0,0,0,0,0,0,-0.0140646371104936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0169399387418593,0,0.0861732174432402,0,0,-0.00115264918811451
X600036.CH.EQUITY,0.775957729755987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249431413857155,0,0,0,0.000775799788559481,0,0,0,0,0,0,0,0,0,0.104931104959817,0,0,0.000702287350072556,0,0,0,0.00414417668338141,0
X601166.CH.EQUITY,-8.67361737988404e-19,0.0757774949844285,0.0336128846007916,0,0.130503854442582,0.200463649046997,0,0,0,0,0.0715012104352266,0.0541727220558902,0,0.171065225073962,0.0159022250948149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0829271862044057,0,0,0,0,0,0,0,0,0,0.0290625496228456,0,0,0,0,0,0,0,0,0,0,0.0560415064241596
X601169.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0888493040748095,0,0,0,0.14979904792575,0.0276877515214347,0,0,0,0.0780071339932536,0,0,0,0.168471187384048,0,0,0.0172704255866967,0.0258827778873748,0,0,0.125136193804735,0,0,0.143543113168501,0,0,0,0,0,0,0,0,0,0,0,0.07736634311136,0,0,0,0
X601229.CH.EQUITY,0,0,0.212487643008162,0.158661135842275,0,0,0,0,0,0,0.0569902949076352,0.0293492696968888,0.200678730861952,0,6.93889390390723e-18,0,0,0.115216326202218,0,0.131957260303385,0,0,0,0,-0.0421428374225471,0.0392913096028668,0,0,0,0,0,0.0916436700918407,0,0,0.100408848382903,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.259828099736462,0.0599661265774152,0,0,0,0,0,0,0,0,0.162478969687532,0.190861478239868,0,0.0496474253563449,0.0317992128581258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0924626895733329,0,0,0,0,0,0,0,0,0,0.0553449400608599,0,0,0,0.0233102492195433,0,0,0,0
