,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.150224738034453,0,0.032342233446868,0,0,0,0,0.0670041891205589,0,0,0,0,0,0,0,0,0,0,0.307969791137182,0,0,0,0,0,0,0,-0.0104208482921083,0,0,0,0,0,0,0,0,-0.0738905855112369,0,0.24977212479467,0,0.117920267627991,0,0,0,0,0,0,0,-0.265973301262146,0
X002142.CH.EQUITY,0.162610526749146,0,0,0,0,0.0526636850209605,0.0114257153810726,0,0,0,0,0,0,0,0.288526323142681,0,0,0,0,0.0309721125776984,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.0331701294685326,0,0,0,0,0,0,0,-0.00578644874399855,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.153616232358144,0,0,0,0.0937856887567987,0.274531854498078,0,0.117340712891313,0,0,0.246361616104626,0,0.0940327094617202,0,0.0168203419992657,0,0,0,0,0.0503540854391657,0,0,0,0,0,0,0,0,-0.0906321137363742,0.0742893442841991,0,0,-0.106236910923321,0,0,0.0300095539780085,0,0,0,0.0295531256837555,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0,0.302137601718586,0.00303542996553346,0,0,0,0.25722649565154,0.099791326981523,0,0,0,0,0.0070871068672667,0,0,0,0,0.0153415804754246,0.0545322403083593,0,0,0,0,0,0.041339674992094,0.132519906544154,0,0,0,0.0862368397807142,0,0,0,0,0,0,0,0,0,-0.0750082600988152,0,0,0,0
X600016.CH.EQUITY,0,0,0.122163831572526,0.270535599079001,0,0,0,0,0,0,0.250789653236033,0,0,0,0,0,0,0,0,0,0.0731878839612414,0,0,0.0814847828571492,0,0.050979076387549,0,0,0,0.0479645106006723,0,0.055498651686744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.154381383479946,0.190445303057496,0.0908883081481055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0296141759951793,0,0,0,0,0,0,0.0542502596886355,0,0,0,0.169777693458602,0.225330012163238,0,0,0,-0.00163128972685404,0,0,0.0998728828004327,0,0,0,0,0,0,0,0.223512837670552,-0.00423447424013629,-2.16840434497101e-19,0,0,0.11833244012249
X601166.CH.EQUITY,0,0.456006470222965,0,0,0,0,0,0,0,0,0,0,0,0.0468543736291791,0.15424079213629,0,0,0,0,0,0,0,0,0,-0.0448520108581941,0.159342986961269,0,0,0,0.0140377466419868,0,0.175267843578175,0.176626854465308,0.0406258048080873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0.0557298761717953,0.347717302915369,0,0,0,0,0,0,0.4048095744726,-0.191572292125678,0.209722363092622,0,0,0.0379370610016026,0,0.0299114454939733,0,0.0115350123884498,0,0,0,0,0,0,0,0,0.00247418346129259,0.047695169608048,0,0.0117027887018388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0700714397467606,0.126508740831898,0,0
X601229.CH.EQUITY,0,0,-0.171037204540103,0.339376165733621,0,0,0,0,0,0.399094107633896,0,0,0,0.0908155971442289,0,0,0,0,0,-0.00941977355330562,0,0,0.124799160772076,0,0,0.263305830312206,0,0,0,0,0,0,0.208427642584048,0,0,0,-0.00388142515874082,0,0,0,-0.0136378045420273,0,0,0,0.192904466093726,-0.270289194894211,0,0,0,-0.10780123856019
X601288.CH.EQUITY,0,0,0,0.0114727623462302,0,0,0,0.120677835961567,0.0865124115499452,0,0,0.450496054116793,0,0.183442944836314,0,0,0,0,0.0474950556559899,0,0,0,0,0.190484256138941,0,0.155098308621901,0,0,0,0.0389654141827394,0,0,0,0,0,0,0,0,-0.0391004648102587,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0
