,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X000002.CH.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0.114925692099991,0,0,0.313354458665736,0,0,0,0.275620546601327,0,0,0,0,0,0.157716141910772,0,0,0,-0.101876809768372,0,0,0,0,0,0,0,0,0,-0.0685235265234743,0,-0.0682016098530273,0,0,1.73472347597681e-18,0,0,0,0.112169995247015,0,0,0,0.00734353716785844,0,0,-0.20257420125477,0,0,-0.0800136915167593,0,-0.0494435821347516
X002142.CH.EQUITY,8.67361737988404e-19,0,0,0,0,0.0627012762761609,0,0.484715093030645,0.136953521840797,0,0,0,0,0,0,0,0,-0.155733574568301,0,0,0,0.0717415182182189,0,-0.137676890241657,0,0,0,0,0,0,0,0,0,0,0.217228466919826,3.46944695195361e-18,0,0,0,0.122345865582476,0,0,0,0,0,0,0,-0.0251429832303876,0,-0.0602221394155654,0
X600000.CH.EQUITY,0.249728107953232,0.0352878044451349,0,0,0.0882703018222772,0,0,0.0639460712334556,0,0,0.1175973590247,0,0,0,0,0.141251500365191,0,0,-0.0097340755319954,0,0,0,0,0,0,0,0.0585344034284643,0,0,0,0,0,-0.00190674865878252,0,0.0513203259882319,0,0.0794671010960986,0,0,0,0,0,0,0,0,0,-0.0407921318635779,0,0,0,-0.152567418978353
X600015.CH.EQUITY,0,0,0.102338506909382,0,0,0,0.463909618561778,0,0.0657224049597855,0,-4.33680868994202e-19,0,0,0,0,-8.67361737988404e-19,0.0167782153217524,0.0813969568208573,0,0,0,0.250514682917144,0,0,0,0,0,0,0,0,0,0,0,0,0.0389844374900224,0,8.67361737988404e-19,0,0,0,0,0,5.33200997560055e-05,0,0,0,-0.123739056902398,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0.041437642961233,0,0,0,0.0811600117723017,0.418415353768611,0,0,0.237634463420714,0,0.0852427642320112,0,0,0.0669856910449677,0,0,0,0,0.0868470980256681,0,0,0,0.019536507632595,-0.0853006058185972,0,0,0,0,0,0,0,0,0,0,0,0,0.0224639168461919,0.0150557910331776,0,0,0,-0.0807631371093471,0,0,0,0
X600036.CH.EQUITY,0.170553370779444,0,0,0,0.434607241763317,0,0,0,0,0.0758905707622004,8.67361737988404e-19,0,0,0,0,0,0.102180811323418,0,0,0,0,0.0479057759066296,0,0,0,0,0,0,0,0,0,0.00594065965509786,0,-0.0319886445482051,0,0,0,0,0,0,0,0,0,0.0856100559341449,0,0.0297996593583896,-0.064182501648264,0,0,0,-0.060749487275757
X600919.CH.EQUITY,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.300876030462594,0,0,0,0,0,0,0,0.408011939802819,0,0.415234868741381,0,0,0,0.0740487312135536,0,0.0885151251479881,0,0.114674461663608,0,0.0883376087643341,0.00324082674479015,0,0,0,0,0,0,-0.0848435025066945,0,0,0,0,0,-0.0967180861162253,0,0,0,0
X600926.CH.EQUITY,0,0.135334059633022,0,-0.0166531648522475,0,0,0,0,0,0.633713687361013,0,0,0,0,-0.275867174156916,0,0,0.059445397892251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0.211904863215292,0,0,0.291992266181378,0,0,0,0,0,0.00238865268433973,0,0,0,0,0,0,0.112197589108674,0,0.151951915976841,0,0.0366751419855987,0.0414220243457243,0,0,0.0441130354040623,0,0,0.0556769883010183,0,0,0,0,0,0,0,0,0.0220857619978081,0,0,0,0,0,1.73472347597681e-18,0.0327086132165494,0,-0.0901935691770569,0,0,0,0,0.0541676402382028
X601166.CH.EQUITY,0.445198430822722,0,0,0,0.105549444211466,0.0588798917525034,0,0.214915045334396,0.0264622794553338,0,0,-0.000592634348983568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.204091999748374,0.278909309863865,0,0.0515519239345319,0,0,0,0,0,0,-0.0745841066192542,0,0,0,0,-0.0195476338142391,0,0,0,0.0231510570411527,0,0.106335892009049,0,0,0
