,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0,0,0,0.286332053322201,0,0,0,0.108956474603257,0,0,-0.228648932982498,0,0,0,0.539759427999072,0,0,0,0,0,0,0,0,0,0,0,0.0660338370922052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12198511639953,0.00716207381343483,0,0,0,0,0.000196654100639771,0
X002142.CH.EQUITY,0.0227049996766712,0,0,0.0968935527521334,0,0.136267371185017,0,0.1924468581589,0.122737535532524,0,0,0,0,0,0.008625029843843,0,0,0,0,0,0,0.0252808550107915,0,0,0,0,0,-0.000214800182821396,0,0,0.15781473142943,0,0,0,0,0,-0.0951428873102667,0,-0.124729276820309,0,0,0.264594946399406,0,0,-0.090411197994655,0,0,0,-0.127008956303093,0,0
X600000.CH.EQUITY,0.672447668846524,0,0,0,0,0,-0.159418928570293,0,0,0,0,0,0,-0.447901338228103,0.0161878144977693,0,0.523710368099187,0.139925923843505,0,0,0,0,0,0,0,0,0,0,-0.131503748564234,0,0,0,-0.0268782550843837,0,0,0.0689815114251282,0,0,0,0,0.109930920439061,0,-0.071969170190877,0,0,0,-0.0474892471249281,0,0,0,0
X600015.CH.EQUITY,0,0,0.0289722284229026,0,0,0,0,0,0,0,0,0.064551276033524,0,0.0206333807400031,0,0.0598930809786316,0.0152082253035804,0,0,0,0,0.0701359760990533,0.00675179844243494,0.512314318818708,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125424331836383,0,0,0,0,0,0,0,0,0,0,0,0,0.0225434823092224
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.163038584538829,0.268244798096263,0.174837276531998,0,0.0870917373673679,0,0,0,0,0,0,0,0,0.348674868706897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0070073589138397,0,-0.0882053497743635,0,0,0
X600036.CH.EQUITY,0.50187119057254,0,0,0,0.02697589277923,0,0,0.0821534720014689,0.200106415315872,0,0,0,0,0.060771010322881,0.0330182179416013,0,0,0,0,0,0,0,0,0,-0.0568122322149928,0,0,0,0,-0.0747862091502758,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10053474047484,0,0,0,0,-0.0159720441845467,0,0.00902346965955467
X600919.CH.EQUITY,0.357235193917525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.542945242860055,0,0,0.0165516423405544,0,-0.0709081909531072,0,0,0,0,0.155374049524962,0.217863589463875,0,0,-0.153727912314481,0.450063703000464,0,0,0,0,0,0,0,0,0,0,-0.270486048401312,6.93889390390723e-18,0,0
X600926.CH.EQUITY,0,0.572532532858485,0,0,-0.106149438447067,0,0,0,0.142870691527609,0,0,0,0,0.0380691923203289,0,0.0883328712195402,0,0.124354228721224,0,0.0927657036179853,0,0,0,0,-0.0887682298825208,0,0,0,0,0,-0.0726927061384059,0,0,0,0,0,0,0,0.173427335486252,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0.128253807658814,0,0,0,0.0555718043738229,0,0,0,0.278676261277022,0,0,0,0,0,0,0,0.133958975903394,0.0568838809102517,0,0,0.176320272235314,0,0,0,0,0.0143031445728353,0,0,0,0,0.0539546408555182,0,0,0,0,0,0,0,0,0,0,0.0808224451965456,0.0127327647477962,0,0,0,0.0502675126855372,0,0,0
X601166.CH.EQUITY,0.0566023986041541,0,8.67361737988404e-19,0,0,0.408578248243522,0,0,0.0690781414677543,0,0,0.157068546703705,0,0.138302285858404,0,0,0,0,0,0,0,0,0,0,0,0,0.0467941361934363,0,0,0,0,0,-0.0790971642474443,0,0,0,0,0.081156207452472,0,0,0,0,0.131918426744928,0,0,0,0,0,0,0,-0.128787156492229
X601169.CH.EQUITY,0,0,0,0.120405464488831,0.0397813794175039,0,0,0,0,0.129880463987,0,0,0.242025551065019,0.0809487030073411,0,0,0,0,0,0.119685410068127,0.0517308411244725,0,0.0252578664346397,0,0,0,0,0,0,0,0,0,0,0,0,0.0126666396683565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0.144257940548953,0,0,0,0,0.0304741739734256,0,0,0.178862715825392,0,0,0,0.132832587170287,0.333965136898659,0,0,0,0,0.189438356133176,-0.00436120703747145,0,0,0,0,0.0610828650001693,0,0,0,0,0,0.0641885211741142,0,0,0.0735509758109194,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.0211960080419116
X601288.CH.EQUITY,0,0,0,0,0.0230684692559184,0,0,0,0,0,0,0,0,0,0.135051020412318,0,3.46944695195361e-18,0,0.368206363255994,0,0,0,0,0,0.066073553412306,0.0145662241499895,0,0,0,0,0,0,-0.0675492593564375,0.213899356445613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0570528590092966
