,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0,3.46944695195361e-18,0,0.167769510565954,0.0354076095458445,0,0,0,0,0,0,0.124652535048488,0,0,0,0.040346735893612,0,0,0,0,0.0589824648493451,0,0,0.179262434821498,0,0,0,0.022920936767971,0.0244217564496536,0,0,0.142151559140661,0,0,0,0,0,0.0590223250964626,0,0.151203063904388,0,-0.123202552724555,0,0,0,0,0,-0.212443437035748,-0.108335327831431
X002142.CH.EQUITY,0.377650097399574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.084294607759111,0,0,0,0,0,0,0,0,0,-0.0811709010198546,0,0,0,0,0.25950448143717,0,0.229087648285144,0,0,0,0,-0.0153394218318954,0,-0.105921934716493,0,0,0.128199415258312,0,0,0,0,0,0,0.0273802618267647,-0.0729255164723975
X600000.CH.EQUITY,0.0296982413456409,0,0,0,0,0.124138468353673,0,0,0,0.0329315855550544,0.479143483456396,0,0,0,0,0,0,-0.0102827514441167,0,0,0.143330656278115,0,0,0,0,0.0381505041569737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408103815273462,0,-0.032369750210171,0,0,0,0,0,0,0,0.103646084793195
X600015.CH.EQUITY,0,0,0,0,0.0320892610277408,0,0,0.0569157117765789,0,0,0,0,0.25611346329191,0.0718048616923884,0,0.0968061686082046,0,0,0,0,0,0,0,0.0654204324995144,0.0857363122108092,0,0.0527231363850628,0,0,0,0,0,0.160913760357494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0.0642585893021256,0,0,0,0,0,0,0.207499873130849,0,0.304211731298412,0,0,0,0,0,0,0,0,0,0,0.0483481570337159,0,0,-6.93889390390723e-18,0.455876354490726,0,0,0,-0.0131623728923877,0.0356176802746899,0,0,0,0,0,0,0,0,0,0,0,0,0.054185916728655,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.249435855595188,0.0851856097276439,0.350641331232915,0,0,0,0.0110469335831075,0,0,0,0,0,0,0,-0.0533525658620385,0,-0.0428394939604641,0,0,0.11151791512733,0,0,2.96687584061507e-05,0,0.130918282519012,0,0,0,0,0,0,0,0,0,0,0.260230392050536,0,0.0388367750463039,0,0,0,0,0.0774656514030027,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.195322645586654,0,0.472918150842127,0,0,0,0,0,0,0.0302756190125949,0.0396765769725253,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00401812105479566,0.212321668605621,0,0,0.00647659118365384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0.282597610644668,0.282571100183861,0,0,0.092301880650855,0,0,0,0.24656075944179,0,0.0264741336340464,0,0.107379895324973,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313922374943689,0,0.0433418296514504,0,0.0557191978850773,0.0557074879641119,0,0,0,0,0,-0.0582732208823384,0,0,0,-0.090180520879911,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0,0,0,-0.00275679087542096,0,0,0.159901046157071,0,0,0,0.420599439366898,0,0,0,0,0,0,-0.142190028869721,0,0.458377824066211,0,0,0.00672262697026412,0,0,0,0,0,0,0,0.0865674136981269,0,0,0,-0.064708703697717,0,0,0.133260567980936,0,-0.0945730583384882,0,0,0,-0.035588035819586,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.00187836767742817,0.0697502762189849,0,0,0.311156282579766,0,0.215569838910171,0.264653825569381,0,0,0,0,0,0,0,0.207689970128841,0,0,0,0,0,0,0,0,0,0,0,0.071384966691814,0,0,0,0,0,0,0,0,0,0.054494756492723,0,0,-0.07726195699261,0,0,0.0286801023160447
X601328.CH.EQUITY,0,0,0.27105603887722,0.0952289538812721,0,0.0714031103394495,0,0.0917322464845317,0.0745609626528926,0,0,0,0,0,0.129376598344356,0.142673541229238,0,0,0.147079209845465,0,0,0,0,0.0229221591301762,0,0,0,0,0,0,0.0576038981830316,0,0,0,0,0,0,0,0,0.0205609662930859,0,0,0,0,0,0,0,-0.13568576865172,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0509554187170521,0.497561939381998,0,0.0563062366471892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113966767359574,0,0,-0.0741794499695733,0,-0.075804340096474,0,0,0,0,0,0,0,0,0,0.218401081645632,0,0,0,0.0889407167033746,0
X601818.CH.EQUITY,0.262323140089563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13594345815663,0,0,0,0,-0.0162762241111161,0,0,0,0,0,0,0,0,-0.0946447512198683,0,0,0.221869830076925,0,0,0,0,-0.0428100165717998,0,0.0514190660139374,0.247145919697052,0,0,-0.0211288848966287,0,0,0,0,0,0,0.124903995618534
X601939.CH.EQUITY,0.104716179031359,0,0,0,0,0,0,0,0.348207160140278,0.312096173631133,0,0.292861529523565,0,0,0.132036229203173,0.0538203763655803,0,0,-0.0990205048567751,0,0,0,0,0,0,0,0,0,0,0,0,-0.0180319156414112,0,0.0721969863501125,0,-0.0433631471729259,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104297610478406,0
X601988.CH.EQUITY,0,0,0,0,0.191297472763345,0,0.134106660141879,0.11357259462824,0,0.0438215241790575,0,0.181060382857914,0,0.245203657434042,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0945126601821975,0,0,0,-0.218068864425505,0,-0.057949065375814,0,0,0,0,0,0.0409610383144596,0.0663665159893948,0,0,0
X601998.CH.EQUITY,0,0,0.109319493514022,0.0221415644980986,0.483687392694954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141465377511198,0,0,0,0,0,0,0.0766451099808136,0,-0.0358143963717409,-0.143747197887189,0,0,0,0,0,-0.00413834544910759,-0.0324202280714806,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0440370791492232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,-0.0641911031879108,0,0,0,0,0,0,0,0,0,0.695104362177638,0.0439860551393518,0.118535846488794,0,-0.0758493076461865,0,0,0,0,0,0.218896305007458,0.206842373521035,0,0,0,0,0,0.044738961499778,0,0,0,0,0,-0.0482284560547336,0.0382110261062511,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.021999559103091,0,-0.0513116129523597,0,0.047899104180612,0,0,0.203236663016717,0,0.346083190604332,0.0922353802486322,0.298614224749675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099925661095052,0,0,0,0,-0.119513971927818,0,0,0,0,0,0,0,0.368728439294481,0,-0.0120312810696014
X5.HK.EQUITY,0,0,0.120980501186477,0,0,0,0,0,0,0.320011325873651,0,0,0,0,0.0144592818952783,0,0,0.541883171900755,0.320979233183553,0,0,0,-0.101368785409586,0,0,0,0,0,0.0190875065127111,0,-0.0759235939778782,0,0,0,0,-0.287196112334071,0.217028362101196,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2891.TT.EQUITY,-0.118162150898711,0,0.42123946629601,0,-0.128964190881286,0,0,0,0.0845121148896012,0,0,0,0,0.581054603901375,-0.324200362358388,0,0,0.0539014885936784,0.109546845316855,0,0,0.363901345984773,0,0,0,0,0,-0.28782830293147,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0.108172069149566,-0.0641091922412706
X000166.CH.EQUITY,0,0,0,0,0,0,0,0.27237275994269,0,0,0,0,-0.0687873474592416,0,0,0,0,0,0,0,0.0249769955454631,0,0.175279497863471,0.000406638804337722,0.0520269614762936,0.201617300050846,0.0950406472597426,0,0.117464654309443,0,0,0.113686174738357,0.207536155050644,0,0,0,0,0,0,0,0,0,0,0,0,-0.0200242153398701,0,0,0,0,0
X300059.CH.EQUITY,-0.0416974949856911,0,0,0,0,0,0,0,0.0871286682007424,0,0,0,0,0,0,0,0,0,0,0,0,0.232139227802979,0,0.269624658554741,0.300038884131983,0,0.21491986780711,0,0,0,0,0,0.214237138288857,0,-0.0744997507694377,0,-0.0197922827121705,-0.215171801185883,0,-0.170734709654413,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082687882362403,0,0,0.123292512327097,0,0,0,0.0351854030891696,0,0.412461318885826,0.0854731397143156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,-0.0441472885579648,0,0,0,0,0,0,0,0,0,0,0,0,0.0407704968497632,0,0,0,0,0,-0.202474044045296,0.3093224121098,0.270454777262554,0.176031478110357,0,0,0,0.212110758554676,0,-0.0847840993336208,0,0,0,0,0,0,0,0,0,0,-0.00466297023739483,0,0,0.101236143028481,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,-0.0546854260124195,0,0,0.273102138899408,0,-0.129235539967304,0,0,0,0,0,-0.00857979242652898,0,0,0,0,0,0,0,0,0.069551365085073,0,0,0,0,0,0.702727639682437,0,0,0,0,0,0,0,0,0,0,0,0,-0.088714507075275,0.140045489809915,0,0,0,0,-0.00213394771052434,0,0,0,0.176577590111577
X601066.CH.EQUITY,0,0,0,0,0,-0.099419192911632,0,0.228885505572872,0,0,0,0,0,0,0,0,-0.0127305660076544,0,0,0,0,-3.46944695195361e-18,3.46944695195361e-18,0,0.330836473844819,0,0,0,0.206235310990965,0,0,0,0,0.0681953994042064,0,0,0,-0.0783581683294471,0,0,0,0,0,0,-0.047751380288987,0,0,0.0699522421670431,0,-0.216101555430423,0
