,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465911740126726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.645387104845947,0,0,0,0,0,0,0,0.0318887215509648,0,0,0.1398960307958,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0.563368997307197,0,0,0.195221335514097,0,-0.207981976219233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242062973356111,0,0,0.20712439020481,0,0,0,-0.0738694350818654,-8.67361737988404e-19,0.130405933508482,0,0,0,0,-0.0355654846722898,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0.0329282523428621,0.17278497980699,0.0839168383116263,0.0551901619470749,0,0.255132398620481,0.103304960095676,0,0.113433199252458,0,0.0401106389975096,0,0,0,0,0.0582763503063543,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0.0200554022138483
X600016.CH.EQUITY,0,0,0.0188537099055738,0,0,0.156181569441374,0,0,0.0611095880790318,0.326987680766718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347382521164557,0,0,0,0,0,0.0159119199178367
X600036.CH.EQUITY,0,0.28253947188969,0,0,0,0.205467025288425,0,0,0,0,0,0,0.16670283854495,0,0,0,0,0,0,0.0343089518124233,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10652567871669,0.150352801937081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0622784072547016,0
X601166.CH.EQUITY,0.123896697248657,0,0.221099465347632,0.0312756582259893,0.125014125382858,0,0,0,0.0994747970215209,1.73472347597681e-18,0,0.17373262841927,0.0141924383323239,0,0,0.031431764501781,0,0,0,0.189772182177682,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248316207803173,0,0,0,0,0.121610029669864,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0.00146558214191048,0,0,0,0,0,0,0,0,0,0.283375425069653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328397316021852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10681114595552,0,0,0,0.172237809044216,0,0
X601229.CH.EQUITY,0,0.189709183295255,0,0.092451262881745,0,0,0,0,0,-0.0810178711720176,0,0,0,0,0.0222010160798358,0,0,0,0,0,0,0,0,0,-0.052117733802896,0,0,0,0.101789517013559,-0.278495268807435,0,0.0616816727996575,0,0,0,0,0,0,0,0.00710639000901046,0,0,0,0,0.183275842688163,0,0,-0.154650469492636,0,0.41712562225291,0
X601288.CH.EQUITY,0,0,0.111407355199815,0.170333953357402,0,0,0,-0.0557883808225455,0,0,0,0,0.573796787022326,0,0,0,0,0,0,0,0.0300679030732075,0,0,0,0,0,0,0.0576640174331228,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.0539354310177563,0,0.0460148539008763,0,0,0,0,0.123792936683556,0.0712695183900388,0.264028474704436,0,0,0,0,0,0,0.0349800283454407,0,0,0,0,0,0,0,0,0,0.04592895831858,0,0,0,0,0,0,0,0,0.235975313447853,0,0.0755777046249166,0,0,0,0,0,0,0,0,0,0
