,X000001.CH.EQUITY,X002142.CH.EQUITY,X002958.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X000002.CH.EQUITY,X600048.CH.EQUITY,X600606.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0,0.265964830482823,0,0,0.00372237809306838,0,0,0,0.381654615138489,0,0.118172273670282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139980100483703,0.0922733233547059,0,0,0,0,0,0,-0.141087340098052,0,0,0,-0.027217378502672,0,0,0,0,0
X002142.CH.EQUITY,0.0589373453000615,0,0,0,0,0,0.0569748262294627,0,0.418669561555002,0.250613391109283,0,0,0,0,0,0.0736463411883207,0,0,-0.179609956858501,0,0,0,0.0946881927907942,0,-0.173967060670026,0,-0.0299920633379518,0,0,0,0,0.150683429023572,0.0843580221684478,0,0,0,0,0,0,0,0,0,0,0,0.0913270226107199,0,0,0,0,-0.143318266903865,0
X002958.CH.EQUITY,-0.117159354020088,0,0,0,0.289434062710087,0,0,0,0,0,0,0,0.121766884839339,0,0,0,0,0,0,0.182949496024546,0,0,0,0,0,0,-0.0476666686644827,0,0,-0.0414036946090097,0,0,0,0.412857729884021,0,0,0,-0.046828168996427,0,0,0.294029416423802,0,0,0,0,0,0,-0.190337610687898,0,0.0107979449471376,0.432797194927479
X600000.CH.EQUITY,0.234686253002288,0.0618217931483967,0,0,0,0.329304765033759,0,0,0,-0.0268563114750714,0,0.0311966400783512,0,0,0,0,0.152356560083331,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0616620224004105,0.0428389105520141,0,0,0,0,0,0.0105525500277218,0.102451112473901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.0786073249117335,0,0,0.04731087873386,0,0.0878111115937278,0,8.67361737988404e-19,0,0.0184730034638136,0,0,0,0,0.234551427641629,0,0,-0.030927872955968,0.158144945938261,0.175559319161049,0,0,0.078520779308179,6.93889390390723e-18,0,0,0,0.0768100178661168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00117735117666907,0.443537034248056,0,0,0.278228772131157,0,0.0638222579289371,0.00383331693651804,0,0.0821294975989673,0,0,0,0,0.0411726099050412,0,0,0,0.103201435363669,0,0,0,0,0,0,0,0,-0.0935254183242657,0.143590449766985,0,0,0,0,0,0,0,0,0,0,0,0.0209244515320916
X600036.CH.EQUITY,0.124956343994682,0,0,0,0,0,0,0,0,0,0.247082163660607,0.294613167379909,0.0158730509912787,0,0,0,0,0,0.00248528617762927,-0.023360230917432,0,0,0.186247462470092,0,0,0,0.073416737553296,0,0,0,0,0.0312072816187525,0,0,0,0,0,0,0,0,0,0,0.15681605784587,0.132024627478009,0,0,0,0,0.00360874482266294,0,-1.73472347597681e-18
X600919.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.067690558478669,0,0,0,0.220907845133677,0,0,0,0,0,0.0116101847828069,0,0.414956274546661,0,0.359923542206085,0,0,0,0.00230823513320269,0.192804569538797,0,0,0,-0.117965188547217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.161619375359247
X600926.CH.EQUITY,0,0.14508409202548,0,0.0313662950965288,-0.0687506458293218,0,0,0,0,0,0.579512982143772,0,0,0,0,-0.182025084530572,0.0548849940850919,0,0.0940177375502443,0,0,0,0,0.0425090706005395,0,0,-0.079094047831478,0,0,0,0,0,0,0.0261601006445593,0,0,0,0,0,0,0,0,0,0,0,0,-0.0604971510053694,0,0,0,0
X601009.CH.EQUITY,0,-4.33680868994202e-19,0,0,0,0,0.118104965695413,0.370653410513649,0,0,0.146148414719279,0,0,0,0,0,0,0,0,0,0,0.0194352742731853,6.93889390390723e-18,0,0,0,0,-0.0621226695149383,0,0,0,0,0,0,0.117679082912512,0,0,0.0137176469366555,0,0,0,0,0.158961672616976,0,0,1.38777878078145e-17,0.0590061037328123,0,0,0,-0.0892634754930545
