,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.157444727796133,0,0,0,0,0,0,0.409075192627187,0,-0.0240913302943188,0,-0.00122442935944996,0,0,0,0.213889238138529,0,0,0,0,0,0,0,0,0,-0.268070559606997,0,0.0601608475830893,0.132714366721238,0,0,0,0,0,0,0,0.279246957827554,0,0.0469096606629405,0,0,0,0,0,-0.197308232566201,0,0,0,0,-0.0698963335528917
X002142.CH.EQUITY,0.245232148769622,0,0,0,0,0,0.0998316726195408,0,0.0170481945932213,0,0,0.0409412148822141,0,0,0.0742450722933176,0,0,0,0,0,-0.0279786185473264,0,0,0,0,0,0,-0.0154690383023358,0.170884788498019,0,0,0,0,0,0,0,0.0508495092012416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.36041013599192,0.115146414418593,8.67361737988404e-19,0.173719978410849,0.0712217096380105,0,0,0,0,0,-4.33680868994202e-19,0,0.0209970428337585,0,0,0,0,0,-0.0518719966334868,0,0,0,0,0,0.201405191695157,0,-0.016310627477794,0,0,0,0,0.12811183461907,-0.0263918552982304,0.0177020050763954,0,0,0,0,0,-0.0719051647640543,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0.106677628932138,0,0,0.40373425695791,0.123994528298477,0,0.00249708242566618,0,0,0.00149077880485424,0,0,0.0505088776890206,0,0.0516251633793525,0,0,0.0303522207963175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712370494806479,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0.0471373078214832,0.0316291141703405,0.39739427934581,0,0,0,0,0.0833181745853157,0,-1.38777878078145e-17,0.0550362209299785,0,0,0.204736167584978,0,0,0,0,0.0898432897075746,0,0,0,0,0,0,0,0,0,0.0906609753953538,0.0917236433528761,0,0,0,0,0,0,0,0.06795013615302,0,0,0,0,0,0,0,0,0,0,0,-0.0434133795738523
X600036.CH.EQUITY,0.0483575167580459,0.0617227780845494,0.0722933060119023,0,0,0,0,0,0,0.032288011818994,0,0,0,0,0,0,0,0,0.0753581685826052,0,0,0,0,0,-0.0245411918919616,0,0,0,0.456209997534011,0,0.13932427647342,0.00361156980613539,0,0,0,0,0,0,-0.0604778859974314,0,0,0.106807476892632,0,0,0,-0.0444024628126282,0,0,0.0570866473005586,0.0241166852067457,0.164104446355539
X601166.CH.EQUITY,0,0,0,0,0,0.029450818803451,0,-0.0879920866131387,0,0,0,0,0,0,0.575355441169407,0,0,0,0,0,0,0,0,0,0.082108854392289,0,0,0,0,0,0,0.231504779062567,0.18133048042848,0,0,0,0,0,0,0,0,0,0,0,0,0.00955712632216922,0,0,0,0,0.312457426389753
X601169.CH.EQUITY,0,0,0.121197461302597,0.297016750122055,0,0,0,0,0,0,0.37047139752239,0,0.0929555447243547,0,0,0.0457545750725243,0,0,0.18925298189592,0,-0.0419545682677754,0,0,0,0,0,0,0,0,0,0.0740289772782321,0,0,0,0,0,-0.112993885164963,0,0,0,0,0,0,0,0,0,0.0003163889338319,0,0,0.0920239574615562,0
X601229.CH.EQUITY,0.101727887831835,0,0,0.13740553985994,0.174659386487836,0,0,0,0,0,0,0,0,0.423967532909993,0,0,0,0,0,0,0,0,0,0,0.0521949314633922,0,0,0,0,0,0,0,0,0,0,0,0,0.145419297182791,0,0,0,0,0,-0.0598869541199855,0,-0.0994142528822214,0,0,-0.0255817945619732,-0.0175615888807423,-0.0110017233439134
X601288.CH.EQUITY,0,0.0466247842932476,0,0,0,0,0,0.271570884007887,0,0,0.0893280795767257,0.135104836656598,0.130046656631864,0,0.0441713600362995,0,0,0,0,0,0,0,0.0784733623789195,0,0,0,0,0,0,0,0.0670664633902626,0,0.0697703499032064,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100220645357803,0,0,0,0
