,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0,0,0.0539783585978631,0,0.324796525908717,0,0,0.0432731756033033,0,0,0,0,0,0,0.00404222137544723,0,0,0,0,0,0,0,0,0,0.0359972056821164,0,0,0,0,0,0,0.053328987170408,-0.0292277361525238,0,0,0,0,0,0,0.153063065555949,0,-0.0135315660581736,0,0,0,0.189030095364475,0,-0.213272402305638,-0.144251526416942,-0.16466245259554
X002142.CH.EQUITY,0.126388676520564,0,0,0,0,0.146790020091131,0.0928796713486988,0,0,0,0,0,0,0,0,0,-0.193561674068084,0,0,0,0,0,1.38777878078145e-17,0,0,0.0632899692576872,0,0,0,0.140669103144017,0,0.18252346566275,0,0,0,0,-0.0664872264559354,0,0,0,0.0112560888338048,0,0,0,0,0,0,0,0,-0.0873674058890293,-0.216326071499595
X600000.CH.EQUITY,0.111874354341327,0,0,0,0.0771750145442514,0.186022344151964,0,0,0,0,0.320810564250576,0,0.155384532874551,0,0.0371719892236265,0,0,0,0,0,0.202607586494636,0,0,0,0,0,0,0,0,0.0254451819020203,0,0,-0.0670207220382262,0,0,0,0,0,0,0,0,-0.0234361757957291,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,3.46944695195361e-18,0,0,0.287893958918337,0.0240067015225364,0,0,-8.67361737988404e-19,0.288017986701301,0,0,0.0491548418274951,0.00696863967000859,0,0,0,0,0,8.67361737988404e-19,0.0753053576862685,0.0318287657163487,0,0,0,0,0,0,0.121693336336077,0,0,0,0.0631474092320549,0,0,0,0,0,0,0,0,0,-0.0349262735528859,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0.025697650436134,0,0,0,0.243577666458086,0.0643783395581377,0,0.239944230150468,0,0,0,0,0,0,0,0,0,0,0.139019829630482,0,0,0.247952615080625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0262711006005618
X600036.CH.EQUITY,0.279809668240538,0.116208323986569,0.100696069982156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102157737586559,0,0,0,0,0,-3.46944695195361e-18,-0.0479451449755622,0.0994540265758538,0.0151466837178332,0,0.166414176505806,0,0,0.0555353048957666,0,0.124183353635154,0,0.0834722196310271,0,0,0,0,0,0,0,0.109389930332628,0,-0.0430763405776697,0,0,0,0.0689291759796496
X601166.CH.EQUITY,0.134390351381494,0,0,0,0,0.157802340825258,0,0,0,0,0,0.191931040486355,0,0,0.110542179137061,0,0,0,0,0,0,0.0110110803429739,0.0802441260160256,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.531840713981968,0.0294571338193482,0,0,0,0,0,0,0,0,0,0,0,0.00825168479402348,0,0,0,0,0
X601169.CH.EQUITY,0,0.150272865510392,0.159478386468594,0.465682169502045,0,0,0,0,0,0,0.11584782614504,0,0.0124972465179877,0,0.0858036542904313,0,0,0,0,0,0,-0.0355017910461208,0,0,0,0,0,0,0,0.154921936728753,0,0,0,0,0,0,0,-0.0190641413310622,0,0,0,0,0,0,0,0,0.0320397321620927,0,0,0,0
X601229.CH.EQUITY,-0.0825664353166079,0,0,0.17366288149221,0,0,0,0,0,0.375947772881166,0,0,0,0.0749926367856593,0,0,0,0,0,0.110965594955904,-0.0877043050959131,0,0,0,0,0.39995709235737,0,0,0,0,-0.0739855465388988,0,0.262688948180216,0,0,0,-0.0616894963978461,0,0,0.133978769283226,0,0,0,0,0,-0.158205788270815,0,0,0,-0.14056471803957,0
X601288.CH.EQUITY,-0.0481126698446124,0,0,0,0,0,0,0,0.200863285672439,0,0,0.557775012505604,0,0.142242358953129,0.0756656784687168,0,0,0,0,0.146837044220353,0,0,0,0.0189686352342273,0,0,0,0.0564781376648228,0,0,0,0,-0.0408719659617233,0.025257278095981,0,0,0,0.0100218750316732,0,0,0,0,0,0,0,0.06166606986856,-0.0504123736384926,0,0,0,0
X601328.CH.EQUITY,0,0,0.224026654297669,0,0.148275340695387,0,-5.42101086242752e-20,0.169201437544577,0,0,0,0,0,-1.38777878078145e-17,0.0710613999556284,0.187951855142004,0,0,0.0194138529436302,0.0832264123019546,0,0,0.0792602245319811,0,0,0,0,0,0,0.0451964968607321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.144864020755232,0.0518335529155327,0,0.0343497139633305,0
X601398.CH.EQUITY,0,0.0397376936118118,0.229593975545125,0,0,0,0,0,0.0208840370457852,0.0254205894925394,0.254877213956597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0876742707296763,0,0,-0.0144730801514036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325930426672587,0,-0.0711438320951222
X601818.CH.EQUITY,0.149023815830462,0,0.181507511401982,0.141982128933022,0,0,0,0,0,0,0,0,0,0,0,0.263668704260744,0,0,0,0,-0.168984277238061,0,0,0,0,0,0,0,-0.140577261273297,0,0,0.0119331627953954,0,-0.0786764347426293,0,0,-0.0219855081131592,0,0.162502811399305,0.137021518452486,0,0,0,0,0,0,0,0,0,0,-0.048867066676302
X601939.CH.EQUITY,0.0591363728036591,0,0,0,0,0,0,0.0488082857446178,0.36535610648103,0,0,0.477454434321241,0,0,0.184474886896425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0455986356663892,-0.117498534309975,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.352964997440716,0,0.151710903720663,0,0,0.181069449437156,0.0323994656776669,0.0281182108418019,0,0.144378321850109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115228937607031,0,0,0,-0.285625477253751,0,0,0,0,0,0,0,0.0488037175104823,0.00118833971006829,0,0,0,0
