,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.287630681589162,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360368648752673,0,0,0,0,0,0,0,0,0,0.317571170266577,0,0,0,0,0,0,0.140936487073578,0.135665292263666,0,0.0507466990865195,0,0,0,0,4.33680868994202e-19,0,0,0,0,-0.0352813536893086
X002142.CH.EQUITY,0,0,0,0,0,0,0,0,0.290252212574931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0999391986289798,0.0463064736585071,0.0954547279340876,0,0.0883468960095745,0.0275760686671588,-1.73472347597681e-18,0,0,0,0.257972644426189,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0.252157282746698,0,0.0514333757093958,0.148977613131039,0,0.140106280836295,0,-6.93889390390723e-18,0,0.0323895405353739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179948245042087,0,0,0,0,0.0258777227335152,0,0,0,0,0,0,0,0,0.155134189323406,0,0,0,0,0
X600015.CH.EQUITY,0,0.0910702960210275,0,0,0,0,0.256892362761841,0.227682945017047,0,0,0,0,0.146538650996793,0.170964160694247,0,0,0,0,0,-0.0405399871363578,0,0,-0.0449516311860378,0,0,0,0,-0.115064116173032,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.272156691416531,0,0,0,0,0,0,-0.0409521458015276
X600016.CH.EQUITY,0,0,0,1.73472347597681e-18,0,0,0.077952889138711,0.0730668163733165,0.121963919985486,0.118466219230078,0.311957620460938,0.0630582523702848,0,0,0.0438091811697877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00925164080102009,0,0,0,0.164606970023322,0,0,0,0,0,0
X600036.CH.EQUITY,0.0511802286927864,0.357219158665982,0,0,0.0276990772511608,0,0.146354928710336,0,0,0,0,0,0,0.025886257169057,0,0,0,0,0,0,0,0,0,0,0,0.0407437321244007,0,0,0,0,0,0,0,0.058102300506496,0.153408993800899,0.0530397118471368,0,0.187023538393909,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,-1.73472347597681e-18,0.128699321076574,0.00608236934704175,0.360639162547895,0,0,0.0479459345287935,0.0443207582329521,0.0122366256507737,0,0.224637824081379,0,0,0,0.0313988857719354,0,0,0,0.0921655215815741,0,0,0,0,0,0,0,0,0,0,0,0,0.0252813327871876,0,0,0,0,0,0.0226421173228827,0,0.0554723801224609,0,0,0,0,0,0,0,0,0,0.0124839373902515
X601169.CH.EQUITY,0,0.065931382318573,0,0.497452981254155,0,0,0,0,0,0,0,0,0,0.0793901669006238,0,0,0.0583129086268749,0,0,0,0.11686355204105,-0.0230245807228785,0,0,0,0.150146061664936,0,0,0.0191622968918395,0.122829807650144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.069336876115267
X601229.CH.EQUITY,0.00702076454092442,0.0219340337732634,0.113771176815287,0,0.0610348967939308,0,0.163375448989131,0,0,0,-0.209832984089028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229669531281676,0,0,0.252555958188027,0,0,0,0,0,0,0,0.104434523973952,0,0,0,0,0,0,0.0430882754768206,0,0,0,-0.0691797996901212
X601288.CH.EQUITY,0,0,0.189643251272661,0,0.0454431152719649,0,0,0,0,0,0,0.296158426211891,0,0.0954222282892797,0.174306349656843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120882997603751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.0443805614621828,0,0,0,0,0,0.348356706044398,0,0.248561834543676,0.146605379601756,0,0,0,-0.0235030791722037,0,0,0,0,0.101284495283296,0,0,0.109625208099913,0,0,0,0.0384137507442106,0,0,0,0,0,0,0,0,0,0,0,0,0.0256041006981883,0,0,0,0,0,0,0,0,-0.0255725025352208,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0171654774719179,0.235431075101824,0,0.0335113602073416,0.330121516407385,0.0239900831062518,0.0553164052102107,0,0,0,0,0,0.00112322062693704,0,0,0,0,0,0,0,0,0,0.0477693718575748,0,0,0.0472252809930941,0,0,0.0165478391784685,0,0,0,0.0477535982352576,0,0,0,0,0,0,0,0,0.154090910004408,-0.073152122661077
X601818.CH.EQUITY,0.0504697244387653,0,0,0,0,0,0.241089766712469,0,0,0.122465298432797,0.140960582872434,0.225156242676305,0,0.0652945408012759,0,0,0,0,0,0,0,0,0,0,0,0,0.0391168719200358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00641903116241792,0,0,0,0,0,0,0,0,-0.107967463900728,0
X601939.CH.EQUITY,0,0,0.107496512881202,0.0618540157657522,0,0,0,0,0,0.249933501778543,0.020915293073436,0.415555190096289,0,0,0,0.176685167195487,0,0,0,0,0.0619465509945113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.178848844584961,-0.0259302652811586,0,0,0,0,0,0,0,0,0,0,-0.0490765489515984
X601988.CH.EQUITY,0.101351494865986,0,0,0,0,0,0,0,0,0.376693053336961,0,0,0,0,0,0,0.357818586563983,0,0,0,0,0.10611258757435,0,0,0.269775034712604,0,0,0,0,0,0,0,0.0295855344856822,0,0,0,0,0,0,0,-0.593244091808315,0,0.074050003773919,0,0,0,0,0,0,0,0,-0.171679744344447
X601998.CH.EQUITY,0,0,0.153749605491368,0,0,0,0,0.283969980722296,0,0,0.0502499124036873,0,0.0937161712482517,0.285453083022102,0.0717023117821461,0,0,0,0,0.0332001029900695,0.101080988678166,0,0,0,0,0,0,0.0259394899151403,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0695862038473737,0,0,0,0,0,0,0,0,0,-0.0234706486174203
X601658.CH.Equity,0.225908802209154,0,0.207557509049721,0,0,0,0,0,-0.0367587655924102,0.022929629824368,0,0,0,0,0.125246001349623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126021063295882,0,0.0878184685150525,0,0,0,0,0,0,0,0.122911094538011,0,0,0,0.27106973711874,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0.0275469695092139,0,0,0,0,0,0,0,0,0,0,0,0,0.228221755361229,0.283424133772679,0,0,0,0,0,0.0956177137997244,0,0.00617327809974414,0,0,-0.00851038752121563,0,0,0,0,0.261140988337871,0,0,0,0,0,0,0,0,0,0.0636267100207378,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132659979259617,0,0,0.0736774467841088,0,0.096699877703699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237441239151305,0,0,0,0,-0.0114505583065691,0,0,0.198993135100931,0,0,0,0,0.269169165747805,0.0233829597390422,0
