,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.294801144657011,0,0,0.237876997157367,0.38995918450095,0,0,0,0,0,0,0,0.216517326313574,0,0,0.132072577593508,0,0,0,0,0,0,0,0,-0.100480220836559,0,0,0,0,0.0587143071644101,0.0634200634630725,0.0841383379850211,0,0,0,0,-0.0166093957563948,0,0,0,0,-8.67361737988404e-19,0,0,0,-0.0626670419604638,-0.0543679529645359,-0.332581168759384,0,0.0270234795400202,0
X002142.CH.EQUITY,0.0411284004589059,0,0,-0.0773748809557143,0.185417433446832,0.121335105602203,0,0.0192719876352069,0,0,0,0,0,0,0,0,0.0566538240442526,0,0,0,0,0,0,0,0.048246944149053,0.149268290223011,0,0,0,0,0,0,0,0.252275181644415,0,0.0223584616990819,-0.0245863825421968,0,0,0,0,0,-0.0198152235552595,0,-0.0820893670503733,0,0,0,0,-0.00291722440030658,0,0
X600000.CH.EQUITY,0,0,0,0,0.0994647376254237,0,0,0,0,0.490841200630334,0,0,0,0,0.0219050788641803,0.0117301147015705,0,0,0,0,0.0771696963979191,0.0320795072515859,0,0,0,0,0,0,0,0,0,0.0612203432033225,0,0,0.0434104162651305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0.320098381397872,0,0,0.144683667451473,0,0,0.0712199921937301,0,0.0438403035352638,0,-0.210516330051913,0,0,-0.318320575119171,0,0,0,0,0,0,0,0,0.524591843506884,0,0,0,0,0,0,0.0901584629528042,0,6.93889390390723e-18,0,0,0.107352816542891,0.0391878848212688,0,0,0,0.0750722564720853,0.132652219674522,0,0,0,0,-0.059986602154177
X600036.CH.EQUITY,0.177439755672609,0.0898147117627623,0,0,0,0,0.38329795477127,0,0,0,0,0.0608249660987713,0,0.100493503776805,0.0655357392793779,-0.0690371397588605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208739937108145,0,0,0.0770257558068196,0,0,0.041762382342334,0,0,0,0,0.00552991401163745,0,0,-0.0489804941819427,0
X601166.CH.EQUITY,0.145928608361897,0.159023879372343,0,0,0.0604870917229536,0,0,0,0,0,0,0.384977707457315,0.0480294819630405,0,0,0.0722319644580866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289267336617406,0,0,0,0,0,0.0806259166710879,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0.0403366516856896,0,0,0.683217540508002,0.32383739005645,0,0,0,0,0,0,0,0.119254301771408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821754260756361,0,0,0,0,0,-0.124451360759216,0,0,0,0,0.0279547326923688,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0.153175892689888,0,0,0,0,0.419710498591118,0,0,0,0,0.322564977796687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201407981766386,0,0,0,-0.227352063995131,0,0.211480515757104,0,0,0,0,0,-0.155479728934397,0,0,0,0,0.0221332942580636,0,0,0,0,0,0,0.0337830815623219,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0922679887153264,0.063132182966763,0.475570774224882,0.00767409289774934,0.0696091993665105,0.0697590876749182,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0553089463404142,0,0,0,0.0726111388242124,0.0237365996038176,0,0.0281939174311827,0,0,0.107249262198461,0,0,0,0,0,0,0,0.0213989539165174,0,0,0
X601328.CH.EQUITY,0,0,0.290990587280429,0.12724473461711,0,0,0,0,0,0,0,0,0,0,0,0.14076475605068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197897786693725,0,0,0,0,0,0,0,0,0.14939671453751,0,0,0,0
X601398.CH.EQUITY,0,0.042629257849995,0,0,0.0220240227947647,0,0,0,0.0336772168594902,0,0,0,0.287906336427041,0.435617385097462,0.101671110140809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0794904232872268,0,0,0,0
X601818.CH.EQUITY,0,0.223893970526413,0,0,0,0.229134595602235,0,0,0.0345482935576481,0,0,0,0,0,0.308746652307794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0686197431828779,0,0,0,0.0187250611936213,0,0,0,0,0,0,0,0,0,0,0,0,0.205871486711826
X601939.CH.EQUITY,0,0,0,0,0,0,0.116201213945395,0,0,0.132828909087398,0.622813329917926,0.274832848057162,0,0,0,0,0,0,0,0,0,0,-0.166982917245338,0,0,0,0,0,0,0,0,0.0911515780611108,0,0,0,0,0,0,0,0,0,0,-0.0179118243985626,0,0,0,0,0,0.0370987601558841,0,0,0.22187402196732
X601988.CH.EQUITY,0.213245334234865,0,0,0,0,0,0,0,0.358068367393149,0.141669981176027,0.0495815759784052,0,0.0906880530387887,0,0.0251646863629088,0,0.011695336545675,0,2.71050543121376e-20,0,0,0,0,0,0,0,0.0198843639357572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122693530024749,0,0,0.00843846154664817,0,0
X601998.CH.EQUITY,0,0,0,0,0,-0.0876803765787035,0,0,0.344697438071863,0,0,0.470099218003213,0,0.15950733150371,0,0,0,0,0,0,0,0,0,0,0,0,0.0840733047316201,0,0,0,0,0,0,0,0,0,0.284548312452181,0,0,0.0954884228512278,-0.0185360218667187,0,0,0,0,0,0,0,0,0,-0.0410964839388585,0
X601658.CH.Equity,0.156762456054812,0,0,0,0,0.185698914618836,-0.313450102215408,0,0.293031903523286,0.395824572837824,0,0,0,0.209582987830168,0,0,0,0,0,0,0,0,0.24753695727458,0,0,-0.302577949619448,0,0,0,0,0,0,0,0,0,0.0808119123248261,-0.0816634949480114,0,0.0275400682790188,0,0,0,0,0,0,0,0,0,-0.000280851054043051,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.166179879672175,0,0,0,0,0.216915897116182,0.480422285941194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00404875226259275,0.106457519886133,0,0.0380671935658207,0,0,0,0.0201976321129457,0,0,0,0,0.0938583964891311,0.157964353727969,0,0,-0.251450787434774
X2388.HK.EQUITY,0,0,0,0,0,0,0.0608886591692975,0,0,0,0,0,0,0,0,0.199708078698823,0.422341619257401,0,0,0,0,0,0,0,0,0,-0.192099153730597,0,0,0,0,0,0,-0.137434483949719,0,0,0,0,0,0,0.398335392332553,0,0,0,0,0.0267181552581946,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,-0.0132182820582139,0,0,0,0,0,0,0,0,0,0,0,0,0.274870805300119,0.137274824443031,0,0,0,-0.042315091165164,0,-0.0546148358064649,0,0,0,0,0,0,0,0.20525633289988,0.0462104332715805,0,0,0,0,0,0.0360639119085386,0,0,0,0,0.262064345482868,0,0,-0.0421273578948662,0,0.108170923285536,0.200854906042634,0,-0.0687125810781121
X000166.CH.EQUITY,-0.0465523440951594,0.0419357367405539,0,0,0,0,0.0930227179213839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143706978790015,0.191981833515459,0,0.266790487167904,0,0,0.263090232616988,0,0.173104744286804,0,0,0,0,0,0,0,-0.0239183301155051,0,0,0,0,0,0,0,0,-0.0567123518176571,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0428514004885088,0,0,0,0,0,0,0,0,0.126138038110206,0.441398902417932,0,0,0,0.066999978259006,0.269684698491255,0,0,0.0433218062572224,0,0,0,0,0,0,-0.0623208594630337,0,0,-0.0589843966330061,0,0,-0.00792644168735039,0,0,0,0,-0.000466898705571693,0,0.0239657246726955,0
X002736.CH.EQUITY,0,0,0.168400389648381,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0498266149881194,0,0,0,0,0,0,0,0,0.184988185455095,0.0980413171386028,0.0363413880354348,0,0.213228555685413,0.185510967329769,0,0,0,0,0,0,0,-0.261875294452512,0.19117428669469,0,0,0.10388510118259,0,0,-0.0761234601655112,0,0,0,-0.214493693671639,0,0
X300059.CH.EQUITY,0.0236901636665846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402079374546342,-0.0214522892643337,0,0,0.445972506276213,0.258689519687271,0,0,0,0,0,0.240604242667238,0,0,0.0671530603181416,0.020059477504053,0,0,0,0,0.0823078034096301,0,0,0,-0.0852303297385938,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,-0.0270335467296537,0,0.0562099444144022,0,0,0,0,0,0,0,0,0,0,0,0.218347674758317,0,0,0,0,0.166528645109177,0.0215809238001751,0.272363241807518,0.25960771011834,0.0438553606488939,0,0.0444555848517985,0,0,0.0400306867194738,0,0,0,0,0,0,0.0542753392382384,0,0,0,0,0,0,0.0142588060734197,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0.138970982494436,0,0.0878008870486107,0,0,0,0,0,0,0,0,0,0,0.0673151363528624,0,0,0,0,0,0,0,0.100582862936534,0.149380943813243,0,0,0,0.0869314875712361,0,0,0.0213591359721064,0,0,0,0,0,-0.0672157460274659,0,0,0,0,0,0,0.111661740635359,0,0
