,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.475989901397266,0,-0.0126820349164064,0,0.0796564643434263,0,0,0.15551476438314,0,0,0,0,0,0,0,0,0.0351717596722798,0,0,0.29565388051311,0,0.085798593381856,0,0,0,0,0,0,0,0,0.062833604187715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.112104435025074,0,0.149466526500042,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.653145069640677,0,0.188244860355484,0.0273464567799391,0,0.0620073955029986,0,-0.119662187859421,0,0,-0.0854356496413284,0,0,0,0,0,0,0,-0.0208915937574834,0,0,0,0,0,0,0,0,0,0.0189908165636502,0,0,0,0,0,0.0606878093621612,0,0,0,0,-0.221293950798189,0,0,0,0,0.13268546034566,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,-0.0365646572345674,0,0.289770869105452,0,0,0.178561056998027,0,-0.203519083140853,0,0,0.208201156290607,0,0,0,0,0.18969573931934,0,0,0,0,-0.0970156172696275,0,0,0,0,0,-0.0512557936002233,0,0,0,0.0801619817421003,0,0,0,0,0,0.104646032482292,0,0.149275986959059,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0.0416532588901531,0,0,0.0234733937753486,0.0592540424932107,0,0.471800366756917,0,0,0.221529434905822,0,0,0,0,0,0.0119502219682957,0,0,0,0.0917453463896806,0,0,0,-0.22271416768178,0,0,0,0,0,0,0.153112030783037,0.201601270763412,0,0,0,0,0,0,0,0,-0.0841647161677761,0,0,0,0,-0.0155693965633448,0,0
X600016.CH.EQUITY,0,0,0.0766131916370382,0.0448331644333619,0,0,0,-0.507709199068463,0,0,0,0,0,0,-0.658540827387851,0.188080265586148,0.13974238793308,0,0,0,0,0,0.381537875452801,0,0,0.351923280770224,0,0,0,0,0,0,0,0,0,0,0,0,-0.397381421296601,0,0,0,0,0,0,0,0,0,0,0,0,0.234808009342198
X600036.CH.EQUITY,0.141811121004646,0.166220027196878,0,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.0478375168110056,0,0,0,0,0,0,0.204867003789442,0,0,0,0,0,0.00895005412621085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226807635959461,0.155282361074346,0.121986313445824,0,0.101280367728177,0,0,0,0,0,-0.120056289474334,0,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0,0.240393094870712,0.19225340204367,0.00239496029653326,0.151387457148309,0,0,0,0,-0.0500083358630079,0,0.045297493277193,0,0,0,0,0.100899826993379,0,0,0.205392153961205,0,0,0,0,0,0,0,0,0,0,-0.0672266129246239,0,0.102416292080383,0,-0.0978864418841066,0,0,0,0,0,0,0,0,-0.141649230699934,0.0439910618231893
X600926.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0373256039883543,0,0,0,0,0,0,0,0,0.540435885707784,0,-0.109473694434987,0,0,0,0,0,0,0,0,0,-0.180837655605464,0,0,-0.0439142430794705,0,0,0,-0.0130962932354036,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148645537961476,0
X601009.CH.EQUITY,0,0.0100148068206104,0,0,0,0,0,0,0,0,0,0.555429066812336,0,0,0,0,0,0,0.0658171515399449,0,0.0792526814672163,0,0,0,0,0,-0.101517764779942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152591809667031,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.214112290113784,0,0.154547512475661,0,0,0.211791009032545,0,0,0,0,0.145021483774903,0.26078663914254,0,0,0,0.0566051430281555,0,0,0,0,0.185546769368894,0,0,0,0,0,0,-0.0860801051910945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0906005273419369,0,0,0,-0.0670261515986894,-6.93889390390723e-18,0,0,0,0,0
