,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.124841877269262,0,0,0,0,0.189616114873743,0,0,0,0,0,0,0,0,0,0,-0.0456787533524568,0,0,0,0.0687810077639627,0,0,0,0,0,0.102480914919533,0,0,0,0.253315263082241,0,0,0,0,0,0,0.0764580051107178,0.110138286711238,0,0,0,0.115155224087872,0,0,0,0,0,0,-0.170424482009707,0
X002142.CH.EQUITY,0.285075614530454,0,0,0,0,0,0,0,0.367944420561753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083337403798016,0,0,0,0,0.0372152078378999,0,0,0,0,0,0.085846505383318,0.0315832695709409,0,0.0034124975162539,0,0
X600000.CH.EQUITY,0.0876537359843817,0,0,0,0.157932083137358,0,0,0,0,0.0688331956844658,0,0.0459540967721079,0,0.13747617014144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0878309313999047,0,0,0.084188038919357,0,0,0,0,0.157770288582995,0,0,0,0,0,0,0,0,0.0107212237358671,0,0,0,0,0
X600015.CH.EQUITY,0,0.0570787896231051,0,0,0,0,0.199000754499317,0.216461608997644,0,0,0,-1.38777878078145e-17,0.0487221432093739,0.181310928684634,0,0,0,0,0,-0.045988696931666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247283692878158,0,0,0,0,0,0,0.121045094311014
X600016.CH.EQUITY,0,0,0,0,0,0,0.10102550792255,0.069090317740729,0.128365252181172,0.151959996197559,0.306803278155234,0,0.00250513818202112,0,0.00586810528552013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167752983320779,0,0,0,0.213060400498587,0,0,0,0,0,0.061949836737979
X600036.CH.EQUITY,0,0.2830862564755,0,0,0.00828972754264668,0,0.183958145691629,0,0,0,0,0,0,0.070107159877564,0,0,0,0,0,0,0.0947539229148075,0,0,0,0,0.0509279482663261,0,0,0,0,0,0,0,0.0664441176319662,0.283786633503737,0,0,0.0209666118005055,0.0052332157554598,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.0376241738744928,0,0,0.106961232257058,0.0296831942982528,0.376043743891505,0,0,0.0415806393102135,0,0.0477496666961094,0,0.242997077485719,0,0,0,0,0,0,0,0.0789365177635624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143776862057489,0,0,0,0.0292316170639339,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0.146079347812938,0,0.471070662811411,0.041200260320561,0,0.146508393167906,0,0,0,0,0,0,0,0,0,0.158788859855059,0,0,0,0.020224460299821,-0.0588293987918279,0,0,0,0.16394484759996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00842465392327165,0,0,0,0,-0.0128215632012218,-0.0438606068033245,0
X601229.CH.EQUITY,0,0.0381292706718824,0,0,0,0,0,0,0,0,-0.0224406597006572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252688996799952,0,0,0.263079162878449,0,0,0.0454848166192991,0,0,0,0,0.174035887408478,0,0,0,0,-6.93889390390723e-18,0,0.132424530726445,0,0,-0.035358100907014,0
X601288.CH.EQUITY,0,0,0.190629513384242,0,0.0461924048904865,0,0,0,0,0,0.00185795806071021,0.297046689842531,0,0.0954225113183156,0.176920000263215,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.123617582520945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.102963813872182,0,0,0,0,0,0.355047139069746,0,0.224332894475014,0.080179023981897,0,0,0,0,0,0,0,0,0.0632043656308313,0,0,0.139030829764881,0,0,0,0,0,0.0315047026616604,0,0,0,0,0,0,0,0,0,0,0.0231284929345409,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,-0.0424282701023864,0.0324071391880241,0,0.0513192527785339,0,0,0,6.93889390390723e-18,0.06623769575879,0,0,0.500662303016259,0,0,-0.0669615085427259,0,0,0,0,0.0895933524465302,0,0,0,0,0,0,0,0,0,0.152327823569696,0,0,0.0180730518410314,0,0,0,0,0,0,0.0188058660483161,0,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0.00510210945820905,0,0,0,0,0,0.401370791623468,0,0,0.361492259705561,0.0400673282642837,0,0,0.00745766436422895,0,0,0,0,0,0,0,0,0,0,0,0,0.0024989730354303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0854067005438859,0,0,-0.0804101165271352,0,0,0,0,0,0,0.0515502255208895
X601939.CH.EQUITY,0,0,0.0932486108577121,0.0715703217748798,0,0,0,0,0,0.174327512714656,0.172740303163456,0.314038629799528,0,0,0,0.146515352171886,0,0,0,0,0,0,0,0,0,0,0,-0.0128635555529591,0,0,0,0,0,0,0,0,0,0,0,-0.115081696949467,0,0,0,0,0,0,0,0,0,0,-0.081829553877827,0.0311898314969089
X601988.CH.EQUITY,0.159873706743828,0,0,0,0,0,0,0,0,0.459298360675028,0,0,0,0,0,0,0.250956633057079,0,0,0,0,0,0,0,0.18663845125171,0,0,0.0605776202036594,0,0,0,0,0.0159330111104548,0,0,0,0,0,0,0,-0.620938175743893,0,0.0562100225363921,0,0,0,0,0,0,0,-0.126717675585143,-0.0779923556854785
X601998.CH.EQUITY,0,0,0.174095454343393,0,0,0,0,0.296733661769424,0,0,0.0539748562997252,0,0.0971671389158614,0.268769377134496,0.0847059118142083,0,0,0,0,0.02957550124654,0.0972663162402533,0,0,0,0,0,0,0.0212245118787504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0607750833048932,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.339264928732644,0,0,0,0,0,0.251410403949942,0,0,0,0,0.0739910989167878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257737226556137,0,0.0319368415364592,0,0,0,0,0,0.193208425889384,0,0,0,-0.227508560661539,0
X11.HK.EQUITY,0,0.0276500172316819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0524043845268622,0,0.419186347902346,0.311016995768832,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0629979981682204,0,0,0.071886143260294,0,0,0,-0.123648082341006,0,0,0,0,0,0,0,0,0,0,-0.148211256251452
X2388.HK.EQUITY,0,0.0450331535284419,0,0,0,0,0,0,0,0,0,0,-0.00960206314141078,0,0,0,0,0.433283297302418,0,0,0,0,0.0763453921699376,0,0,0,0,0,0,0,0.0925066741800112,0,0,0,0,0,0.220828233422619,0,0,0,0,0,0,0,0.169323713879978,0,0,0,0,0.0497747828126538,0,0
X5.HK.EQUITY,-0.114495913509192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218520743531536,0,0.317943825178181,-0.149991339416217,0,0.339145819978686,0,0,0,0,0,-0.052511614324894,0.0120919790030597,0,0,0,0,0,-0.175107324014572,0,0,0,0,0,-0.277607279441369,0,0.100852197169676,0,0,0,0,0,0.733089437277685,-0.0651723748063,-8.67361737988404e-19,0,0.155348323004459
X2886.TT.EQUITY,0,0.234149286168888,0,0.151837787702414,0,0,0,0.0441065576115961,0,-0.122844780242032,0,0,0,0,-0.014100824975917,0,0,0,0,0,0,0.443272049847044,0,-0.0683013086559518,-0.0247830480726322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042514839768693,0,0,0,0,0,0,0,0.196138904305608,0,0,0,-0.0146371240481723,0
X2891.TT.EQUITY,0,0,-0.12025692937633,0.136569215979697,0,0,0,0,0,0,0,0.241537416690615,0,0,0,0,-0.0591817046861738,0,0,0,0.582451998377256,0,0,-0.0527894967565676,0,0,0,0,0,0,0,0.0128424866062031,0,0,0,0.0258924600349391,0,0,0,0,0,0,0,0,0.0992219770168122,0,0,0,0,0.0800450909537457,-0.053956933689482,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.154780130269752,0,0,0,0,0,0.0832666031548813,0,0,0,0,0,0,0.780634125438201,0,0,0,1.73472347597681e-18,0.203450572262071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00905671006521414,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0009954164615,0,0,-0.292386822197803,-0.0330695214700581,0,0,0,0,0.153295199109156,0,0,0,-0.0151591180812307,0,-0.217852706513759,-0.0327017779486449,0,0,0,0,0,0.0903014661964319,0,0,0,0.0992074104800355,0
X600030.CH.EQUITY,0,0.0309297941083411,0,0,0,0,0,0,0.0300177996170524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640655111228077,0,0.0675327118587991,0,0.234662710851924,0.164973948793423,0.293812386893022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0706973992977796,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110248790483475,0.0666931254062885,0,0,-0.118081863864504,0.0175210242997446,0,0,0,0,0.320575519288193,0.0821964457804041,0.42064752589714,-0.107204358364188,0,0,0.0880131646953696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210347642302588,0,0.021828428798796
