,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.131266519744894,0,0,0.569400145780561,0,0.034653218935937,0,0.0116954555348221,0.00764548977659548,0,0.130867995339575,0.0387175638523023,0,0,0,0.0539698045195298,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100575357296557,0.0547178432261361,0,0,0,0,0,0,0,0,0,0,0.0610216306143797,0,0,0,-0.295109820997449,0,0,0,0,0
X002142.CH.EQUITY,6.93889390390723e-18,0,0.122580633710639,0,0.653453776225466,0,0,0,-0.203722395000018,0,0,0,-0.073856513935658,0,0,0,0,0,0,0,0,0.0794273469054931,0,0,0,0,0,0,0,0,0,0,0,0.307076816700471,0.0364853773287948,0,-0.253786893554227,0,-6.93889390390723e-18,0,0,0,0,0,0,-0.0327886454486079,8.67361737988404e-19,0,0,0,0.0750026052134602,0
X600000.CH.EQUITY,0,0,0,0,0,0.0599693973682953,0,0,0,0.367424061618258,-8.67361737988404e-19,0.00934753765164252,0,0,0.0411761861914819,0,0,0,0,0,0.0140566087543803,0,0,0,0,0,0,0,0,0,0,0.171057037483847,0,0,0,0,0,0,0,0,0,0.0310281210162541,0,0,0.0353951454009682,0,0,0.0034332979797118,0,0,0,0
X600016.CH.EQUITY,0.00285613750104347,0,0,0,0,0,0,0,0,0,0,0,0.297280683598542,0,0,0,-0.0140004767363022,0,0,-0.467259119364771,0,0,-0.0346507212984659,0,0,0,0,0,0.70579693965852,0,0,0,0,0,0,0.111706178940762,0,0,0,0,0.265232595527388,0.166929145184223,0.0252401369045428,0,0,0.0927251991739041,0.098151967012841,0,0,0,0,0
X600036.CH.EQUITY,0.206847379287266,0.318999837349987,0,0,0,0,0,0,0,0,0,0,0,0.0917987266950107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179862236482344,0,0,0,0.0690714830522545,0,0,0,0,0,0,0.0284834995818039,0,0,0,0,0,0.0890202750916849,0,0,0
X601166.CH.EQUITY,0.101862167651428,0.15452841464071,0,0,0.155903858087783,0,0,0.117349869968056,0,0,0,0.275439834610564,0,0,0,0,0,0,0,0,0.0199501632929012,0,0,0,0.0593697770771745,0,0,0,0,0,0,0,0,0.0255265996275976,0.00995218995209136,0.0172366524950599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,-6.93889390390723e-18,0,0,0,0,0.00137966604583443,0,0.309228501513405,0,0.185833365066662,0.0264664688240817,-2.16840434497101e-19,0,0,0.118596399001398,0.101545975241017,0,0,0,0.00179927805205374,0.179876808489781,0.0250450510243098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0653130731381951,0,0,0,0,0,0,0,0,0,-0.00201047465712849,0,-8.67361737988404e-19
X601229.CH.EQUITY,0.012548950743715,0.0349226035863069,0,0,0,0.440118394319539,0.372804499978545,0,0,0,0,0.152036580003175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0791651828954969,0,0,0,0,0,-0.273157004350509,0,0,0,0,0,-0.103091622312488,0,0,0,0,0,0.344534403562348,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.178687541824302,0.307979338017388,0,0,0.292587818080353,0,0.0333492862722964,0,0,0,0,0,0,0.0292942571736163,0,0,0,0,-0.00355719796886688,0,0,0,0,0,0,0,0,0,0,0,0,0.173547163219648,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.343818522839309,0.0609552497577546,0,0,0,0,0,0,0,0,0,0.0554856170855846,0,0.0151552078616112,0,0,0,0,0,0,0,0,0,0,0,0.028329936592068,0,0,0,0.022273511758345,0,0,0.039626060193641,0,0,0,0,0,0,0.206011687638884,0,0,0,0,0,0,0,0,0,0
