,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.269110556643734,0.371043308103985,0,0,0,8.67361737988404e-19,-3.46944695195361e-18,0,0.369654172030017,0,0,0,0,0,0,0,0,-0.172553931911463,0,0,0,0,0,0,0,0,0,0,-0.338117492727353,0,-3.46944695195361e-18,0.171836968716609,0,0,0,0,0,-0.116344143514976,0,0,0,-0.0224291790258667,0.0825427896941131,-0.132173293142658,0,0,-0.040558253574623,0,0,0.0721786043447928,0
X002142.CH.EQUITY,0,0,0,0,0,0,0,0.543807070521548,0,0,0,0,0,0,0,0,0,-0.0552810077825349,0.182134717676043,0,0,0,0,0,0,-0.125469478376214,0,0,0.207928048381929,0,0,0,0,0,0,0,0,-0.0103320290725217,0,0,0,0,0,0,0,0,0,0,0,0,-0.124240809819838,0
X600000.CH.EQUITY,0.0695613543996753,0,0,0,0,0.292984932178069,0,0,0,0,0,0,0,-0.0100779229664226,0,0,0,0,0,0,0.469009636578895,0,0,0,-0.16232556500329,0,0,0,0.003841747969709,0,0,0,0.0329824574553269,0,-0.0579032833335041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0139935565014503,0,0
X600015.CH.EQUITY,0.169646943279246,0,0,0,0,0,0.0814018180364865,0,0,0,0.0997472669928325,8.67361737988404e-19,0,0.0749641245996324,0,0,0.0203098346887139,0.145449371444028,-0.0570354690316653,0,0,0.193453852416383,0,0,0,0,0,0,-0.0406723640939389,0,0,0,0,0,0,0,0,0,0,0,0,-0.0768052220064785,0,0,0,0,0,0.0423466732197723,0,0,0,0
X600016.CH.EQUITY,0,0.108102040410686,0.0823498459457433,0.146385533374238,0,0,0,0,0,0,0,0,0,0,0,0.0275650953533569,0,0,0,-0.123763153548475,0,0.027178964936294,0,1.73472347597681e-18,0.818753797705858,-0.0682391549783858,0.268087503280972,0,0.0950798610981221,0,0,0,0,0,0,0,0,0.05273966235165,0.0514954244684318,0,0,0,0,-0.0167068478713718,0,0,0,0,0,-0.0335091834271176,0,0
X600036.CH.EQUITY,0.0798746126061155,0.00751229552628009,0.0688532583930656,0.111796130811963,0.0198202195469213,0,-1.73472347597681e-18,0,0,0.254820185312468,0,0,0.0112683606596558,0,0,0,0.0940202449652484,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0593059468957972,0,0,0,0,0.144312063418631,0,0,0.206890791574499,0,0,0,0,0,0,-0.0841105583050725,0
X600919.CH.EQUITY,0,0,0,0.0384110075153802,0,0.0191105044661482,0,0,0,0,0,0.11361482137785,0,0.0850497904417736,0,0,0,0.0286048509743545,0,0,0.359852299514849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337224576829476,0,0,0.0618852257958176,0.0517823471380049,0,0,0,0,0,0,0,0
X600926.CH.EQUITY,0.0878001032347009,0.460713161119594,0,-0.0301951535456535,0,0,0,0,0,0,0,0,0,0,0,0.349950527661955,0,0.0252825353318663,-0.0308521142340359,0,0,0,0,0,0,0,0,0,0,-0.0293523553228793,0,0,0,0,0,0,-0.0176137404941513,0,0,0,0,0,0,0.115792664557109,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0,0,-0.013094336806607,0,0,-0.0523639134418008,0,0,0.0607659467144876,0,0.224742334173258,0,0.0227430287752914,0,0,0,0,0.0178137034693113,0,0.220849302694384,0.227469521066826,0.0284627768801935,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109156397785682,0,0,0,0,0,0,0,0.123269455667312,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.537219545718059,0,0.21639608543074,0,0,0,0.0188201112986355,0,0,0,0,0,0,0,0,0,0,0.27404082012011,0,0,0,-0.0707303492626512,0,-0.1978027718364,-0.0751192912503674,0.112434240179616,0,0,0,0,0,0,-0.0513321719646482,0,-0.0530574072510262,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0.00244318734272847,0,0.248560679021616,0,0,0,0.0510292570877925,0,0,0,0,0,0,0,0,0,0.160816908028429,0,0,0,0,0.244817160292799,0,0.159292394294329,0,0,0,0,0,0,0,0,0,0.0933592786469977,0,0,0,0,0,0.0272171733359254,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0.153047100536407,0,0,0,0,0.201472937060043,0.0770731661260574,0,0,0,0.114114314450256,0,0,0.178614467983201,0,0,0,0.114913073242443,0,0.217150568767112,0,0,0,0,-0.0213138594863615,0.0217446843229808,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0208300184253372
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0802085896291158,0,0,0.101225226598125,0.612638088057416,0,0,0,0.0417341590245248,0.157057394582309,0,0,0,0,0,0,-0.0226720407990403,0,-0.0957559551441459,0,0,0,0,0,0,0.19749828100863,0,-0.0110232463297505,0,0,0,0,0,-0.242337112479324,0,0.169294970019113,0,-0.0799426913363359,0.0617391077160949,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.0400826318002774,0,0.0544919589808108,0.0421664003983243,0,0.123608328554114,0,0,0,0,0,0,0,0.434683658741698,0.0376975303958595,0.187089234625305,0,0,0,0,0,0,-0.00637507341153231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133810709264269
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0.0320421783553064,0,0,0,0,0,0,0,0,0.0738652144464315,0.329113189135435,0.035963237533557,-5.42101086242752e-20,0.108595868501808,0,0.00466965179351951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102585555801278,0,0,0.0551092182084707,0,0,0,0,0,0,0,0
X601577.CH.EQUITY,0,0,0,0.0202176528688022,0,0,0.301686237025422,0.105522505215439,0,0.261511060916495,0,0,0,0,0,0,0,0.0203013689707314,0,0,0.141695226508618,0,0,0,0,0,0,-0.175400749050874,0.088803851204248,0,0,0,0,0,-0.0123968598159271,0,-0.342442864309254,0.495437033605532,0,0,0,0,0,-0.077841642264541,0,0,0,0.000705299614786598,0,0,0,0
X601818.CH.EQUITY,0.128622662756153,0,0.0261139817461406,0,0,0,0,-0.0970727014140281,0,0,0.180535985298711,0,0,0,0,0,0,0.0640852654640803,0,0,0.062077715104845,0.237010171053522,0,0,0.0932599832966504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277555401702463,0.00584734927199672,0,0,0,0,0,0,0,0,0,0,0
X601838.CH.EQUITY,0,0,0,0,0,0.0190200218413803,0,0,0,0,0,0,0,0,0,0.0659636914526866,0.165177362271402,0,0,0,0,0.14437914992257,0.0223035444092572,0,0.0179992708010317,0,0,0,0,-0.101637470343214,0,0,0,0,0,0,0,0,0,0,0.0254330045788496,0,0,0.0279957939806755,0.0205623432260941,0,0,0,0,0,0,0.196325861333418
X601939.CH.EQUITY,0,0.101960822066397,0,-0.0314759540128463,0,0,0,0,0,0,0.0248868512572449,0,0.381206793303235,0.0844717825138187,0.14195407685904,0,0,0.0409625984017963,0,0,0,0,0,0,0,0.0281190406797173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202110700776113,0,0,0,0,0.0146947834902341,0,0
