,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0.0154040403136253,0,0.216321645581027,0,0,0,0,0,0,-0.0469290928122879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0592244864091666,0,0,0,0,0,0,0,0,0,-0.152556056719539,0.135479030325576,0,0,0.251193369608296,0,0,0.0447654253371852,0,0,0,0,0.129397195140228,0
X002142.CH.EQUITY,0.0982813021669976,0,0,0.0168870436694246,0,0.185875600159546,0,0.133155290718205,0,0,0,0,0,0,0.0894759678272921,0.0523063120375245,0,0,0,0,0,0.21430415772226,0,0,0,0,0,0,0,0,0.123729125849305,0,0,0,0,0,-0.0266363648945887,0,0,0,0,0.172657127354653,6.93889390390723e-18,0,0,0,0,0,-0.0369162038860422,-0.00303200348730082,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,-0.0789095943952771,0,0,0,0,0,-0.124420543216322,0,0,0.849406137399734,0,0,0,0,-0.00999219046157092,0.0310096563886635,0,-0.0153180563850819,0,0,0.05178599137141,0,0,-0.0830115575922262,0,0,0,0,0.129386221925691,0,-0.0770777219883803,0,0,0.00619919870826366,0,0,0.192941221701556,0,0.164884092354964,0,0,-0.127708806082844,-0.117945282749871,0,0.0888340205741988
X600015.CH.EQUITY,0,0,0,0,0.409442276521502,0,0,0,0.0430364057410597,0,0,0,0,0.14685180983445,0,0,0,0,0,0,0,0,0,0.263679321247585,-0.0446872662087984,0,0,0,-0.0420885139827978,0,0,0,0,0,0.0140990347835377,-0.0114081648705653,0,0,0,0,0,0,0,0,0,0.0384309555043173,0,0,-8.67361737988404e-19,0,0.0673315615065702,0.0282403897699419
X600016.CH.EQUITY,0,0,0,0.0591107355095991,0,0,0,0,0,0,0,0.348823896010788,0.0559621903204019,0,0.195415623639867,0.0689226480979512,0,0,0,0,0.0208623834214231,0,0,0.245813185398715,0,0.0173498181089306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176448677335578,0,0,0,0,0,0,-0.056007392190414,0,0,0,0
X600036.CH.EQUITY,0.223173320372778,0,0,0,0,0,0,0,0.448442525092519,0,0,0,0,0.00598708279618615,0,0,0,0,0,0.00257295201648775,0,0,0.0354385121799202,0,-0.03172876308052,0,0,0,0,-0.10136312632057,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206032651275817,0,0,0,0,-0.0205240848102898,0,0,0
X600919.CH.EQUITY,0.453616073625592,0,0,0,0,0,0,0,0,0,0.0510962959696469,0,0,0,0,0,0,-0.0979371517097084,0,0,0,0.192186598599423,0,0,0,0,-0.046205249942701,0,0,0,0,0.135701818983248,0.0251010617572246,0,0,0,0.409339036862868,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0
X600926.CH.EQUITY,0,0.246661734023847,0,0,0,0,0.264023680917517,0,0.230406769485041,0,0,0,0,0,0,0,0.153383091617662,0.10727061384385,0,0.0568361254278901,0,0,0,0,-0.0729235300543792,0,0,0,0,0,0,0,0,0,0,0,0,0.021026526136539,0,0,0,0,0,0,0,0,0,0,-0.16463389926291,0,0,0
X601009.CH.EQUITY,0,0,0,0.0191587306414318,0,0.0890999227521222,0,0,0,0.223291846910909,0,0.0640739717195422,0,0,0,0,0,0.0167569360636261,0,0,0.0546671714946456,0,0,0,0,0,0.0160235862915189,0,0,0,0,-4.33680868994202e-19,0,0.223546752457595,0,0,0,0,0.0561440456389266,0,0.217832784721208,0,0,0,0,0,0,0.117509532826279,0,0,0,0
X601166.CH.EQUITY,0,0,0.0592460719616658,0,0,0.2166727997808,0,0,0,0,0.032660741562385,0.0303958776554395,0,0,0,0.0879041630494856,0,0,0,0,0,0,0,0,0,0.0540877851844336,0.0358272187379521,0,0,0,0,0,0,0.127690348207739,0.259920404146384,0,0,0,0,0,0.0787013997843316,0,0.027424079664885,0,0,0,0,0,0,0,0,0
