,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.381246361086361,0,0.0217272339468118,0,0,0,0.0394534421977036,0.154575106605356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305318427508067,0,0,0,0,0.217664262285271,0,0,0.193411357576664,0,0,0.0226837390545914,0,0.0209340180523136,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.301313742192447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.503009424076294,0,0,0,0,0,0,0.0440955750526526,0,0,0,0,-0.0177212049843179,-0.0723464129262682,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0.0247179886880708,0.125454062411414,0.0513335761156585
X600000.CH.EQUITY,0,0,0,0,0,0,0,0.169730175888838,0,0.111965504103056,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.00179863463326491,0.161846163791747,0,0,0,0.236856590918886,0,0,0,0,0,0,0,0,0.0180922620074463,0,0.237848659496617,0,0,0,0,0,0,0,0.00627037358966855,0,0,0,0,0,0.0730533223199503,0,0
X600015.CH.EQUITY,0,0,0,0,0.238085696296981,0,0.0906249500337496,0,0,0,0,0,0,0.0566299054392835,0,0.011520795639418,0.172738782855568,0,0,0.068561074694944,0,0.078470477604476,0,0,0,0,0,0,0,-1.6940658945086e-21,0,0,0,0,0.084551366840659,0.176314582279624,0.021753231410215,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142657304219087,0,0,0,0,0.165800687162447,0,0,0,0.3108501818775,0.379212703610642,0,0,-0.316205863138464,0,-0.0772675929876655,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,-0.0266179080563605,0,0,0,0.29125439465778,0,0
X600036.CH.EQUITY,0,0.0243329225790547,0,0,0,0,0,0,0,0.297236458287151,-0.121572638449895,0,0,0,0,0,0,0.152271830110676,0.189808376649046,0,0,0,0,-0.0484920538788976,0,0,0,0,0,0.160761743725397,0,0,0,0,0,0,0,0,0,0,0.170734435364064,0,0.357869679944502,0,-0.103267695941119,0.169178714377113,0,0,0,0,0,-0.106635812533328
X600919.CH.EQUITY,0,0,0,0.314663844250417,0,0,0,0.109553672286829,0.224487642352258,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280091077029625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148372419215837,0,0,0,0,0,0
X600926.CH.EQUITY,0,0,0.0625490881499486,0,0,0,0,0,0.148645775078765,0,0,0,0,0,0,0,0,0,0,0,0.0181895046613774,0,0.114916847778923,0,0,0.167102459234149,0,0,0,0,0,0,0,0,0.235898937312845,0,0,0,0,0.220658703172653,0,0,0,0,0,0,0,-0.0390038232244592,0,0,0,0
X601009.CH.EQUITY,0,0,0,0,-1.38777878078145e-17,0,0.0455299176342222,0,0,0.0885025375991848,0,0,0.299346765742689,0,0,0.0588680042576197,0,0,0,0,0,0,0,0,0,-0.018479481949845,0,0,0,0,0,0,-0.0141124933381535,0,0,0,0,0,0,0,0,0,0.0818925772810334,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.160709997385068,0,0,0,0,0,0,0,0.208948431528406,0,3.46944695195361e-18,0,0,0,0,0,0.107382957979254,0.106637533133759,0,0.0444642905219493,0,0,0,0.0234324070341767,0,-0.194241534605135,0,0,0,0,-0.159005049883889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00739827801371306,0.238086215241535,0,-0.0507877834901773
