,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0.0123310513521076,0,0,0,0,0,0,0,0,0,0,0.120360643314121,0,0,0,0,0,0.0388300238549279,0,1.73472347597681e-18,0,0,0,0.184836926206873,0,0,0.145596165506423,0,0,0,0.0848097777308117,0,0,0,0.0628452718466605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.172256203935361,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.231026445460933,0.0189789699371762,0,0,0,0,0,0,0,0,0,0,-0.012224731136085,0,0,0,0.456444175450703,0,0,0.0310645633572504,0,0,0.000386202489705988,-0.119091898287045,0,0,0,-0.244986661727465,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.247145570834184,0.133335883681728,0,0.0445251234738579,0,0.384711370098394,0.0106705855883179,0,0,0,0,0,0,0,0,0,0,0,-0.247518934404686,0,0,0,0,-0.191874433226465,0,0,0,0,0,0,0,-0.0855919357476353,0,0,0,0.21857326087104,0.0800677712584148,-0.139676916251393,4.33680868994202e-19,0,0,0,0.103803913947278,0,0,0,0
X600015.CH.EQUITY,0,0,0.050599516144735,0,0.0614588304008845,0,1.0842021724855e-19,0.430248687303724,0.0310363573219904,0,0,0,0.145781150185643,0,0,0.124311176419357,0,0,0,0,0,0,0.186003936284163,0,0.0208593891433914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0932980794132792,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.115958487340492,0.484867285843023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140271350645193,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.116929368852752,0,0,0,0,-0.198752688555701,0,0,0.552924720339269,0,0.126935900625225,-0.04632505940316,0.0243858372359496,0,0.0275690758435253,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0680847354208449,0,0.349688326355195,0,0,0,0,0,0,0.0787434858416111,0,-0.207651674075131,0.0396363222422992,0,0,0,0,0,0,0.23164752472641,0,0,0,-0.0619815564284118,0.191503670917949
X601166.CH.EQUITY,0,0,0.24074581915774,0,0,0,0,0,0,0.230638988464606,0,0,0,0,0,0,0,0,0.00886552804030197,0,0,0,0,0,0,0,0,0,0,0,-0.0129647794800788,0,0,0,0,0,0,0,0,0.0627699337142297,0,0.0386065213577141,0,0,0,0,0,0.226450145436462,0,-0.0188326856623796,0.0490680480951031,0
X601169.CH.EQUITY,-1.0842021724855e-19,0,0,0.940505984939528,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,-0.167388501056115,0.0306379978962723,0,0,0.0556212197019744,0,-0.203909966176485,0,0,0,0,0,0.0402016269429061,0,0,0,0,0,0,-0.0505491015478072,0,0,0,-0.0522001823372107,0.523082958521015,-0.0882289355872113,0,0,0,0.0605128019047978,0,0,0,0,0.0924430674294927,0,0,0
X601229.CH.EQUITY,0,0.00765692152705731,0,0,0,0,0.0691569991367906,0,0,0,0,0.451377276863091,0,0,0,0.0757672708301637,0,0,-0.134672275598294,0.0489868833626371,0,0,0,0.0187400991122153,0.207847187710614,0,0,0,0,0.156534877823458,0,0,0.0411883383042701,0,0,0.19803097898819,0,0.0444128412235268,0,0,0,0,0,0,0,0,0,0,-0.102840706483084,-0.139362173992681,-0.0685621220518064,-0.0279641703191504
X601288.CH.EQUITY,0,0,0,0,0,-0.118178065903518,0.659826307180826,0,0,0,0.0451085014645024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111417347779895,0,0,0,0,0,0,-0.331672983076223,0,0,0,0,0,0,0,0,0.12965537225772,0,0,-0.369528983541824,0,0,0,0.355824055481767,0.315931572664111
