,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.190122664779476,0,1.73472347597681e-18,0,0.0643286508197229,0.244720825845303,1.38777878078145e-17,0,0,0,0,0,0.00901398007125746,0.0214230092585226,0.194708071998387,0,0,0,0,0,0,0.0820897370699899,0,0,0.0175767300831027,0,0,0,0.0979426437135654,0.0327433053853595,0.102437134263795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.428084598349749,0,0,0,0,0.436156816823858,0,0,0,0,0,0,0.0395551061795113,0,0,-0.165655286764064,0.101834710571961,0,0,0,-0.0330190360336155,0,0,0,0,-0.00312140406250614,0,0,0,0,0.117196768932546,0,0.275807584325894,0,0,0,3.46944695195361e-18,-0.19052683212869,0,-0.192762913028401,0,0,2.77555756156289e-17,0,0,0,0,0,0,0,-0.105397049017104,-0.0213572778701524,0.00651621027547386
X600000.CH.EQUITY,0.171277057159666,0,0,0.178990487335514,0,0,0.00797186939749936,0.0967354127646568,0,0,0.347102098843086,0,0,0,0,0,0,0,0,0,0,0.0755106936697244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300958106485252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0.0283227738527894,0,0.372543362367197,0,0,0,0,0,0,0,0,0,0.0149928158524646,0.0720832052172015,0.067610698673335,0.166396869278139,0,0,0,0,0,0,0,0,0,0.108749619162448,0,0.0461509548696895,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.0585169366828191,0,0,0,0,0.022596647161016,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0.038430517795554,0,0.484873499533265,0,0,0.00158750021153816,0,0.129642731081399,0,0,0,0,0,0,0,0,0,0,0,0.270440580177914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076893103754234,0,0,0,0
X600036.CH.EQUITY,0.145948796235521,0,0,0,0,0,0.302254011879475,0,0,0,0,0,0.111698637558869,0,0,0,0.0105550445473184,0,0,0,0.0674774561971443,0,0.0658893784223391,0,0,0,0.0740950089063743,0,0,0,0,0,0,0,0,0.138265334063388,0,3.46944695195361e-18,0,0,0,0,0.120579095677514,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.195645472589681,0,0.269983378992726,0,0,0,0,0,0,0.482770325337361,0,0,0,0,0,0,0,0.0126316819860328,0,0,0,0,0,-0.0268737815422681,0,0,0,0,0,0,0,0,0,0,0,0,0.0465104749598814,0,0,0,0,0,0,0,0.0331533913074198,0,0,0,0.0662910963055206,-0.119017516783071
X601169.CH.EQUITY,0.132487377069448,0,0.20082005197214,0.127198633531372,0,0,0,0,0,0,0.00759364075162537,0.101760942458844,0,0,0,0,0,0,0,0.0995709554622362,0,0.0439166868102451,0.0151410789021837,0,0.063019918316504,0,0,0.142982239930214,0,0,0,0,0.0924047435035158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0.0179732386986916,0.059537779548138,0,0,0,0.144653290888156,0,0,0,0.158894844852023,0,0,0.0597643472487584,0,0,0.103586993245685,0,0,0,-0.110590528147712,0,0,0,0,0,0,0.106067845041543,0,0,0,0,0,0,0,0,0,0,0,0.229368647692437,0,0,0,0,0,0.17574302439212,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.359744621780281,0,0.101876422169748,0.425070592835073,0,0,0,0,0,0.0162668384436687,0,0,0,0,0,0,0,0,0.0440564719354712,0,0,0,0,0,0,0.0404161861396797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0319267961676269,0
X601328.CH.EQUITY,0,0,0.719091192612121,2.16840434497101e-19,0.138317718083336,0,0,2.77555756156289e-17,0.063162970679129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0.0491121500994986,0,0.110450775227209,0,0,0,0.164869857071677,0,0,0.137887180909619,0,0,0,0,0,0,0,0.00614806832063063,0,0,0,0.0288869792949229,0,0.0424141276274406,0,0,0.189961882777396,0.0193221595107547,0,0,0,0.246171746927326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
