,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.149418493124772,0,0,0,0,0.00182280905692393,0.071777264983599,0.288031674426336,0,0,0,0,0,0,0,0,0,0,0,0.00894397993846716,0,0,-8.67361737988404e-19,0.110215826210621,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3222723715012,0,0.0714375436197746,0,0,0,0,0,0.125813906208632,0,-0.0977596618109824,0,0,-0.138209795638169
X002142.CH.EQUITY,0.216222302316322,0,0,0,0,0.082422996886063,0.0534262730594575,0,0,0,0,0,0,0,0,0,0,0,-0.0404049953181189,0,0,0,0,0,0,0,0,0.146093797572925,0.0867193830426204,0.0946305206833825,0,0.116015002038345,0,0,0,0,0,-0.00634960454632789,0,0,0,0,0,0,0,0,0,0,0,-0.0601727921385382,-0.129878615667874,-0.228776893938336
X600000.CH.EQUITY,0.0458044310062368,0,0,0,0.0404476440235862,0.144560894677361,0,0,0,0,0.457223415150012,0,0,0,0,0,0,0,0,0,0.155735694516872,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0186480972038122,0,0,0,0,0.0485083007899761,0,0,0,0,0,0,0,0,0,0,0,0.113880856709237
X600015.CH.EQUITY,0,0,0,0,0,0,0,0.180245529605091,0,0,0,0,0.342309486874841,0,0,0.0624568655596236,0.00141305494498732,0,0,0,0,0,0.0200438154977454,0.118167851434183,0.0176725894367548,0,0,0,0,0,0,0.117602676450776,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00695559786724185,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0.0833592082526715,0,0,0,0,0.105230440420141,0,0.408085738758342,0,0,0,0,0,0,0,0,0,0,0.0898207486412611,0.0224636249103772,0,0.279547724353416,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079934499261282,0
X600036.CH.EQUITY,0.101471747100611,0.197646514458765,0.157360528296148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106287663488223,0,0,0,0,0.111108278426365,0,0.0358155882382661,0.248142204626826,0,0,0,0.0393343044610355,0,0,0,0,0,0,0,0,0,0,0,0,0.0457510991352988,0,0
X601166.CH.EQUITY,0.0940975597524644,-6.93889390390723e-18,0,0,0,0.313615496700394,0,0,0,0,0,0.128708686504858,0.0118628463129453,0,0.0988796171223129,0,0,0,0,0,0,0,0.142526264869848,0,0,0.0065189130223754,0,0,0,0,0,3.46944695195361e-18,0.424604888451165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0.0888723702330465,0.196976315652562,0.409073599524567,0,0,0,0,0,0,0.199160183265497,0,0.070424434644132,0,0.0142641116868197,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.143438272228255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072838982114596,0,0,0,0,0
X601229.CH.EQUITY,0,0,-0.0203119398151975,0.158398510653396,0,0,0,0,0,0.386875195950253,0,0,0,0.0945661660507632,0,0,0,0,0,0.171993735057377,-0.0260623280454587,0,-1.38777878078145e-17,0,0,0.377759925528565,0,0,0,0,0,0,0.146819338847923,0,0,-0.037996572941648,0,0,0.103454270666457,0.0650456421420701,-0.042611843618981,0,0,0,0,-0.12050278460155,0,0,0,-0.100475127464761,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0.234138630815628,0,0,0.545527615823064,0,0.107154223572032,0.0647398287756145,0,0,0,0,0.0339997474218012,0,0,0,0.0980426145029975,0,0,0,0.0146975763999028,0,0,0,0,0,0,0,0.0364149526556752,0,0,0,0,0,0,0,0,0.0557287691966043,0.0288465726263624,-0.0185233009343735,0,0,0,0,0.0559575527339848
X601328.CH.EQUITY,0,0.00370458278343138,0.276943444061811,0,0.0567908539909308,0,0.0202841331690341,0.238197949288449,0,0,0,0.0461017488458404,0,0,0.00537337744188878,0.185074716645041,0,0,0,0.0720358042988013,0,0,0.0885306504465843,0,0,0,0,0,0,0,0,0.0907467772860138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.145756660825684,0.0551358347991624,0,0,0,0
X601398.CH.EQUITY,0,0.0461527450311275,0.223392464065881,0,0,0,0,0,0,0.0371417237864635,0.255264055274389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0564287853084141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330716266787984,0,-0.082407305356362,0
X601818.CH.EQUITY,0.237922115357199,0,0.103633963610546,0.0532465778146122,0,0,0,0,0,0,0,0,0,0,0,0.261152917501548,0,0,0,0,-0.115243678957466,0,0,0,0,0,0,0,-0.137537718509901,0,0,0.079867799715902,0,-0.0890229141060318,0,0,-0.0303211854873213,0,0.0558836158499467,0.239963444858215,0,0,0,0,0,0,0,0,0,0,0,0.0949559588154421
X601939.CH.EQUITY,0.0612313921899652,0,0,0,0,0,0,0.0490437227008198,0.370525164353597,0,0,0.473981526045303,0,0,0.184217770743793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0446074031577309,-0.115391326239244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.255498393368459,0,0.123689796816319,0,0,0.171741342049891,0.113602693594469,0.0754924631476498,0,0.133104073741278,0,0,0.017202572409528,0,0,0,0,0.00453601057615194,0,0,0,0,0,0,0,0,0,0,0,0.135034799026419,0,0,0,-0.320783228144896,0,0,0,0,0,0,0,0.0668435143097542,0.000486030217397503,0,0,0,3.46944695195361e-18,0
X601998.CH.EQUITY,0,0,0.10129832711534,0.244985886304583,0.181198145574984,0,0,0,0,0,0,-6.93889390390723e-18,0.135211022457547,0.0439368275783286,0,0,0.0735385671834175,0,0,0,-0.0428667467991763,0,0,0,-0.0475218330006112,-0.0404465791948554,0,0,0,0,0,0,0,0,0,0,0.01113606871889,0,0,0.149483920180426,0,0,0.0963408073130471,0,0,0,0,0,0,-0.0802412750920413,0,0
X601916.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,-0.132439750966764,0,0,0,1.38777878078145e-17,0,0,0,0,0,0.244740069508643,0.210629279108523,0,0,0,0,0.0272819653255693,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.283031601263306,0,-0.119903381191979,0,0,0,-0.0528862144448019,0,0,0,0,0,0,0,0.117446279204689,0,0,-0.0267544828852515
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0116963509702346,0,0,0,0,0.30789988544322,0,0.489995367487646,0,0,0,0,0.00682234642261465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154300174594279,0,0,-0.141827320628089,0.387562503874548,0,0,0.0672337752765995,0
X5.HK.EQUITY,0,0,0.229463516021251,0,0,0,0,0,0,0.0729142574590787,0.100018776872791,0,0,0.217192109113127,0,0,0,0.625004471498305,0.0410321584311876,0,-0.0316109984762258,0,0,0,0,0,0,0.0335508367931866,0,-6.93889390390723e-18,-0.148302180456415,0,0,0,-0.108353792739343,0.171692300381639,0,0,0,0,0,0,0,0,0,-0.159233167303547,0,0,0,0,0,0
X2891.TT.EQUITY,0,0.329501250628942,0.0357355155302428,0,0,0,0,0.0915841994285213,0,0,0,0,0,0.329195632926949,0,0,0,0,0,0,0,0.0485793073301873,0,0,0,0,0,0,0.0190512492965305,0,0,0,0,0,0,0,0.199872905192767,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0298387087699864,-0.255052199372199
X000166.CH.EQUITY,0,-0.000508491468944373,0,0,0,0,0,0,-0.0162003751665291,0,0,0.027438477016146,-0.0519906394398889,0.300999306410114,0,0,0,0,0,0,0,0,0,0.0209036660167864,0.52277377113343,0.270416150699491,0,0.00315002224750136,0,0,0,0,0,0,0,-0.025615684318217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038142430697301,0.0506824500773469
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0988284552057706,0,0,0,0,0,0.020842072800856,0,0,0.134470647888871,0,0.415125152679409,0.216225160865581,0,0,0,0.013873302545682,0,0,0,0,0.0949319140268118,0.0412721319251452,0,0,0,0,0,0,0,0,0,0.03140112958665,0,0,0,0.0120616846735328
X600837.CH.EQUITY,0,-0.0302536496228077,0,0,0,0,0,0.0443459367060268,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,-0.196987688103177,0.414588249202468,0.199802467105144,0,0.0574224507229704,0.0279838714901705,0.0551078246110118,0,0,0,0,0,0,0,0,0,0.0769791619108265,-0.0161990782115212,0,-0.000938914924100842,0,0,0.0906114218914453,0,0,-0.1226192871512,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0.193826556662699,0,0.215866351964041,0,0,0,0,0,0,0,-0.119071076589843,0,0,0,0,0,0,0.0331002478762774,0,0,0,0.143580243701209,0,0,0.346828972126762,0,0,0,0,0,0,-0.0209010429287366,0,0,0,0,0,0,0.0363139423395408,0,0,0,0,-0.212184410093625,0,0,0,0,0.0182749560013022,0.0236414536716912
X601066.CH.EQUITY,0,0,0,0,0.0482231226500361,0,0.0112319448096241,0,0.000354294504660825,0,0,0,0,0.0840996782682816,0,0,0,0,-0.277166147463978,0,0,0,0,0.39174881995667,0,0,0,0.0544622485896376,0,0,0,0,0,0.0611772767439886,0,0,0,0,0,0,0,0,0,-0.0174556276226963,0,0,0.0329040166963629,0,-0.241539164099385,0,0.00754741706876595,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,-0.0935979114293853,0,0.509016489646183,0.0142613745104531,0.335104204247182,0.188615711224343,0,0.0355565110633003,0,0,0,0,0,0,0,0,0.0941381470604275,0,0,0,0,0,0,0,0,-0.00495843796292152,0,0,0,0.0296717602097996,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.547503346179405,0,0,0,0.00471418856835863,-0.0328758067940241,0,0.913795583414477,0,0,0.00475290850866528,0.096850938052503,0,0,0,0,0,0.0259671510416864,-0.307232529779202,0,0,0.155504130728545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00263482527846691
X388.HK.EQUITY,0,0,0,0.327640449311129,0,0.100744904769088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.431759546246238,0,-0.0103137324052808,0,0,0,-0.0242758305681111,0,0,0,0,0.117251997574002,0,0,-0.0172039735792001,0,0,0,0,0.208933893972107,0.184934954890495,0.157032356642422,0,0,0,0,-0.0102905909312614,0.229726345188019,0
X601318.CH.EQUITY,0,0.113501990967844,0.320005288835162,0,0,0,0,0.118577043240867,-0.275169469689225,0,0,0,0,0,0.0950314248339135,-0.0605323037555013,0,0,0,0,0.0200111594804642,0,0,0,0,0,0,0,0,0,0,0.141086821951838,0.117708664939332,0.255793462668394,0,0,0,0,0,0,0,0,0,0,0,0,0.0554414441342964,-0.0276066483070319,0,0,-0.00689139341256761,0
X601319.CH.EQUITY,0,0,0,0,0,0,0.0167217747232291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272917454050849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0986143092427296,0.274694842911864,0,0,0,0,0,0,0,0,0,0,0.0164371948125769,-0.214545515970538,0
X601336.CH.EQUITY,0,0.266840469744211,0,0.188943162620547,0,0.0286917695129331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25705058503631,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231885506685844,0,0,0.31577504745732,0.109289175531659,0,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0.202254016331735,0.390782337749824,0,0.256810240120732,0,0,0,0,0,-0.255607175140195,0,0,0,0,-0.0427312986676577,0,-0.0483828895929417,0,0,0,0,0,0.00688168671183066,0.187633713161199,0,0,0,0,0.232650175070534,0,-0.152924082960942,0,0,0,0,0,0,0,0,0,0,0.26213225537185,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.198564142820858,0,0,0,0.11723243301649,0,-0.0556411460454298,0,0,0,0,0,0,0,0.113316298680178,0,0,0,0.162137218060724,0,0,0,0,0,0.0458589506330138,0,0,0,0,0,0,0,0,0,0.0527405862821146,0,0,0,0.101973840046776,-0.111318385727514,0.0453851275607197
X1299.HK.EQUITY,-0.101552127950922,0,0,0,0,0.164344938776372,0,0,0,0,0,0,0,0,0,0,0,0.1731424256133,0.0322793490853913,0,0,0,0,0,0,0,0,0,0.280090758347413,0,0,0,0,0,0,0,0,0,0,0,0,0.044713621523017,0,0,0,0.0835841512498561,0.20084484677163,0,0,0,0,-0.0854652864391447
X2881.TT.EQUITY,-0.161177404322716,-0.157036590466748,0,0,0,0,0,0,-0.0339375804498473,0,0,0.175458466317313,0.021656265606574,0,0,0,0,0.1522095789084,0,0,0.231526942811512,0,0,0,0,0,0,-0.202728256345868,0,0,0,0.23695449435112,-0.180290388767157,-0.113750367906466,0,0,0.647036153610607,0,0.0970924811269336,0,0,0,0,0,0,0,0,0,0,0,-0.037341229469254,0
X2882.TT.EQUITY,0.0136293737289569,0,0,0,0,0,0,0,0,0,0,-0.0787980510034296,0,0,0,0,0,0,0,0,0,0,0.0451756137361096,0,0,0,0,0,0,0,0,0,0,0,0,0.305806865668588,0,0.138352696889579,0,0,0,0.0894579720251279,0,0,0,-0.0276154188614102,0.0172312167785146,0.0178260830029153,0,0,-0.135552583247095,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10552215146326,3.46944695195361e-18,0,0,0,0,0.0693282862523801,0.105503441995073,0.0132867069628809,0,0,0.241474466115897,0,0,0.274469969250723,0,0.05294210749257,0,0,0,0,0,0,0,0,0.364645930807011,0.0240909584288279,0,0,0,0.0173970370042743,0.0486665604240703,0,0,0,0,0.0167828361024324,0
X001979.CH.EQUITY,0.307754845538452,0,0,0.208488967646729,0,0,0,0,0,0,0,0,0,0,0,0,0.0830156991258849,0,0,0,0.0189832027257362,0,0,0,0,0.0989216736883482,0,0,0,0,0.130134364615724,0,0,0,0,0.222627986711634,0,0,0,0.50067704507601,-0.208913285321052,0,0.106198423536613,0,0,0,0,0,0,0.0149950954188724,0.164987697867998,0
