,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0.166291883941343,0.135114266669782,0,0,0,0,0,0,0.0629534180371071,0,0,0,0,0,0,0,0,0,0,0,0.192393154688605,0.0383577477884251,0,0,0.108751299120702,0.103943036650982,0,0,0.0640100691746856,0,0,0,0,0,0.0167488350044351,0,0.12222644173336,0,-0.120669953831865,0,0,0,0.000115735441657513,0.0008937216580823,-0.199806948860597,0,0.133446676609137,-0.0961874043376155
X002142.CH.EQUITY,0.351501168969108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0612744751301488,0,0,-0.0130392361525977,0,0,0,0.0386316623977144,0,0,-0.0898016822352085,0,0,0,0,0.277725182658483,0,0.19589407354982,0,0,0,0,0,0,-0.094496400432193,0,0,0.120262251990644,0,0,0,0,0,0,0.0673595239559688,3.46944695195361e-18,0,-0.0818222173441248
X600000.CH.EQUITY,0.0434469517580321,0,0,0.122724633320405,0.0422542069286557,0.261491227418711,0,0,0,0.0191483243544964,0.304024827822505,0,0.0132746658157948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0623011075981102,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,-0.108341122566544,0,0,0,0.0437268288042324,0.0527928081788339
X600015.CH.EQUITY,-8.67361737988404e-19,0,0,0,0.0163121062683647,-0.0284642935349443,0,0.0661452576478574,0,0,0,0,0.245628943441069,0.112407552941664,0,0.0381882957090567,0.0332004918433269,0,0,0,0,0,0,0,0.14440450319461,0,0.0821490592466404,0,0,0,0,0,0.225634708397075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00502503835834881
X600016.CH.EQUITY,0,0,0.0171230358272594,0.024216044393581,0,0,0,0.331712577530115,0.0134099799890105,-3.46944695195361e-18,0.120321956630912,0,0,0,0.113349844440996,0,0.00948052628039783,0,0,0,0,0,0,0,0,0.283092295369863,0,0,0,0,0.0756733081439964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.292259339281499,0.0393016292895896,0.274528726374923,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00286743217722781,0.0732002035582206,0,0,0,0,0,0,0.137335166247739,0.00836447917076068,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.182581511151495,0,0.0344518263017208,0,0,0,0,0.0960559029807066,0,0,0,0,0,0,0,0,0,-0.0562704585979352
X601166.CH.EQUITY,0,0,0,0.0821774217673209,0,0.392498421947668,0,0.0584985035914112,0,0,0,0,0.0379368285524937,0.103274012446238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0463886128746598,0,0.137306597601993,0,0,0,0.133452512698841,0,0.0178594522564004,0,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0.255008691911312,0.298180602730073,0,0,0.0351359348163861,0,0,0,0.2715241924438,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.135991179665749,0.000982643894754326,0,0,0,0,0,0,0,0,0,-0.0791420914422952,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.101929119896981,0,0.0821096689197264,0,0.267460746934873,0,0,0,0,0,0.034189960312105,0,0,0.382936306425373,0,0,0,0,0.190595355202474,0,0,0,0,0,0.12490373321173,0,0,0,-0.117073798285901,0,0,0,0,-0.123914233810395,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0.256279129958714,0,0,0.378475930534264,0,0.0590899303631877,0.224755978108089,0,0,0,0,0.0274158581699452,0,0,0.037239131423123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070169316402431,0,0,0,0,0,0,0.0181542814331033,0
