,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.249253021744445,0,0,0,0.233647190783183,0,0,0,0,0,0,0.256391764446759,0,0,0.0836055636773462,0,0,0,0,0,0.0314629207736345,0,0,0,0.1562306586513,0,0,0,0.0107824151505608,0,0.105468820094559,0,0,-0.144363656654056,0,0,0,0,0.091899526289784,0,0,0,0,0,0,0,0.0468200820502787,0,-0.0339495665052735,0,8.67361737988404e-19,0
X002142.CH.EQUITY,0,0,0,0,0,0.587550357582214,0,0,0,0,0,0,0.0949799879006027,0,0,0,0,0,0,0,-0.0902260671043953,0,0,0,0,0,0,0,0,0.060294338385895,0.209411600180108,0,0.0371391339713702,0,0,0,0,-0.0423214984480395,-0.0844906943552447,0,0,0,0,0,0,0,0,0,0,0,0,0.0845913662531112,-0.151841653494906
X600000.CH.EQUITY,0.242152838704875,0,0,0,0,0,0,0.00398319035785371,0,0.024134668070633,0.567801220312721,0,0,0,0,0.00469745162627491,0.0164013403136931,0,0,0,0,0.18063480159323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489336200975779
X600015.CH.EQUITY,0,0,0,0,0.278480073900871,0,0,0.0672576711850907,0.0475833396060232,0,0,0,0.178412041903238,0,0,0.0216597642112153,0,0,0,0,0,0,0,0,0.0821590845369112,0,0,0,0,0,0,0,0.22751293554728,0,0,0,0.0574733689464921,0,0,0,0,0,0,0,0.00678352417752773,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0.0872679753253629,0,0,0.529942618127233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225656659320337,0.0584527790202553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112614354899047,0,0,0,0,0
X600036.CH.EQUITY,0.557552800131063,0.053310806027662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.0410436363671816,0,0,0,0,0,0,0,0,0.200938886320977,0,0,0.080869927675972,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0171331120146003
X601166.CH.EQUITY,0,0,0,0,0,0.481826137645001,0,0,0,0,0,0,0.224963995924761,0,0,0.154414498741091,0,0,0,0,0,0,0,0,0,0,-0.0400895838165941,0,0,0,0,0,0,0,0,0,0,0,0.0403669534087955,0,0,0,0,0,0,0,0.0913655356906594,0.0442483022460643,0,0,0,0,0
X601169.CH.EQUITY,0,0,0.0957705296557203,0.228689601537735,0,0,0.119655860815264,0,0,0,6.93889390390723e-18,0,0,0,0.17143306116681,0,0,0,0,0,0,0.051913211873184,0,0,0,0,0.0168911787257197,0,0,0,0.0721853863803016,0,0.198115554540458,0,0,0.0835547590677074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0.0235779095468986,0,0,0,0,0,0.340065482852146,0,0,0,0.171566789501763,0,0,0,0,0,0.394086805567946,-0.18076415406498,-0.0602701046992988,0,0,0,0.0378798413932019,0,0.139860998171616,0.236428075544427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.238887182378948,0,0,0,0,0,0.000178112969990997,0.0283127592756485,0.0404758010795708
X601288.CH.EQUITY,0,0,0,0,0,0,0.0319535600654864,0,0.213442646238421,0,0,0.375999715145619,0,3.46944695195361e-18,0.269921202443574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0684281988195138,0.00950308543286548,0,0,0,0,0,0.0195263100999644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0270559508443549,0
