,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.228908979571709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051082325682684,0.0440174574087087,0,0,0,0,0,0,0,0,0,0.322878839952574,0,0,0,0,0,0,0.0596483387260202,0.158610972689897,0,0.123412156339549,0,0,0,0,4.33680868994202e-19,0,0,0,0.00063207451213302,-0.0870571132079187,0
X002142.CH.EQUITY,0,0,0,0,0,0,0,0,0.285608792858804,0,-0.0120439309319499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07710316025786,0.0482801832004598,0.254421596031332,0,0.0484331743921337,0,8.67361737988404e-19,0,0,0,0.177034093845922,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0.287706461947466,0,0.025989180769606,0.146153824290835,0,0.109284022001946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0652615180814687,0,0,0,0.018333106045064,0.0115451828918717,0,0,0,0,0,0,0,0,0.129897341500589,0,0,0,0,0,0
X600015.CH.EQUITY,0,0.105976322067928,0,0,0,0,0.214949346222855,0.195149084728689,0,0,-1.73472347597681e-18,0,0,0.190855324447627,0,0,0,0,0,-0.0728128298383069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264093932203572,0,0,0,0,0.0406511907345922,0,0,0.0954535934434411
X600016.CH.EQUITY,0,0,0,0,0,0,0.0969192942783233,0.0479658750297698,0.142315370357434,0.103744763402208,0.347165022158079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108263846621909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113508875431088,0,0,0,0.241907342303389,0,0,0,0,-1.73472347597681e-18,0,0.0505866935789265
X600036.CH.EQUITY,0.102341553488338,0.335223388313373,0,0,0,0,0.203902884737345,0,0.0267107599654849,0,0,0,0,0.0319274819382387,0,0,0,0.0744768888511808,0,0,0,0,0,0,0,0,0,0,0,0,-0.0293144886179244,0,0,0,0.21206334192162,0.0103326478157472,0,0.14731951605652,0,-0.0093433044101718,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.00305249751857932,0,0,0.126998260688844,0.00373775797454946,0.359658772161091,0,0,0.0477141607058068,0.0361315470255835,0.0274297757633871,0,0.223985658305536,0,0,0,0.0305353546934401,0,0,0,0.0899130438347812,0,0,0,0,0,0,0,0,0,0,0,0,0.0181975439533613,0.0119926510498606,0,0,-8.67361737988404e-19,0,0.0157435789562485,0,0.0541300013340195,0,0,0,0,0,0,0,0,0,0.0152161110370333,0
X601169.CH.EQUITY,1.73472347597681e-18,0.0629384713954731,0,0.475080327681367,0,0,0,0,0,0,0,0,0,0.100494989089358,0,0,0.0916148165069211,0,0,0,0.110433704199816,-0.0272678234169366,0,0,0,0.0624825306399535,0,0,0.0125848249461604,0.220137200821883,0,-0.0165900215352093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.097591220194028,0
X601229.CH.EQUITY,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.0598908215287737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288254138903004,0,0,0.280873562951439,-3.46944695195361e-18,6.93889390390723e-18,0,0,0,0,0,0.170398803493696,0,0,0,0,0,0,0.147085612818423,0,0,0,-0.0394618374207687,0.00423168821153795
X601288.CH.EQUITY,0,0,0.189435721585591,3.46944695195361e-18,0.0453236314057695,0,0,0,0,0,0,0.297095749271111,0,0.0953047201363278,0.174379069417026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12198070040566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.0255595768496669,0,0,0,0,0,0.308962255652615,0,0.279295084553523,0.173029914137759,0,0,0,-0.0140589014187719,0,0,0,0,0.120554109540069,0,0,0.160655678214479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290353239467226,0,0,0,0,0,0,0,0,-0.0666473669330441,0,0
X601398.CH.EQUITY,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.0171042506327135,0.235045290770721,0,0.0334069345033634,0.328674960878396,0.0239343102901147,0.0550452209750979,0,0,0,0,0,0.00110448573483964,0,0,0,0,0,0,0,0,0,0.047635305667022,0,0,0.0441585863737725,0,0,0.0164256430680692,0,0,0,0.0476585399628135,0,0,0,0,0,0,0,0,0.153896845702785,-0.0711114987886854,0
X601818.CH.EQUITY,0.0799379993640097,0.0234196981074179,0,0,0,0,0.245993161615107,0,0,0.111247651614355,0.116327539457245,0.155543583226915,0,0.070381066221308,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0780874981608938,0.130871858083367,0,0,0,0,0,0,0,0,-0.0836956809154617,0,0.0443763808368048
X601939.CH.EQUITY,0,0,0.125099080066209,2.16840434497101e-19,0.00754576582793941,0,0,0,0,0.232409932299979,0.0463312543408846,0.294713240432334,0,0,0,0.242693659090876,0,0,0,0,0.100890595916609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03630468176117,-0.044439130642924,-0.0995046084068163,0,0,0,0,0,0,0,0,0,-0.0292460950375406,0.0970128096419915
X601988.CH.EQUITY,0.178181696665174,0,0,0,0,0,0,0,0,0.378941220380917,0,0,0,0.0314556179671202,0,0,0.36350004313635,0,0,0,0,0.0703323098215314,0,0,0.207538847089082,0,0,0,0,0,0,0,0.0473531404573865,0,0,0,0,0,0,0,-0.614386676335558,0,0.0720231655150465,0,0,0,0,0,0,0,0,-0.149409710077823,-0.0617369558649527
X601998.CH.EQUITY,0,0,0.209621176006267,0,0,0,0,0.228108171482373,0,0,0.0608913673281758,0,0.0625773197965631,0.301199835151527,0.0697293628475165,0,0,0,0,0.0241801407113238,0.100826379062179,0,0,0,0,0,0,0.030076803004398,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0598692374824721,0,0,0,0,0,0,0,0,0,0,0.0177078885875515
X601658.CH.Equity,0.268247618275131,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136052978127361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280159712874649,0,0,0,0,0,0,0,0.164189896326122,0,0,0,0.323449129786395,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0.117340724451075,0,0,0,0,0,0,0,0,0,0,0,0,0.333074304556289,0.357030962018921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0871686031259337,0.0409094904557463,0.104347522946924,0,0,-0.0281523751658219,-0.169834860718741,0,0,0.116964384671266,0,0,0,0,0,0,0,0,-0.0302514557305763
