,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.318492373337982,0,0,0.225051730963337,0.413915183155982,0,0,0,0,0,0,0,0.182193933063869,0,0,0.157459720523092,0,0,0,0,0,0,0,0,-0.0607006122765365,0,0,0,0,0.0392875689972467,0,0.10868925590914,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,-0.0302356435647162,-0.0876957857790899,-0.280331074156546,0,0.0232564734042541,-0.0218320771059567,0.0688129149750302
X002142.CH.EQUITY,0.0568314311793638,0,0,0,0.119428520826492,0.101745155909021,0,0.0598643520072234,0,0,0,0,0,0,0,0,0,0,0,0.00639066422645982,0,0,0,0,0,0.0962718719535003,0,0,0,0,0,0,0,0.243924364673226,0,0.0378364303744316,0,-0.0406112946507765,0,0,0,0,0,0,-0.0740213046770908,0,0,0,0,0,-0.0441722054963801,0,-0.0904925506542824
X600000.CH.EQUITY,0,0,0,0,0.048522047228681,0.0353963284809764,0,0,0,0.418168992512755,0,0,0,0,0.0860256419640435,0,0,0.0574118765357346,0,0,0.0297019096158807,0.0282891322254479,0,0,0,0,0,0,0,0,0,0.160265393320356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0.309422442933113,0,0,0.111546550318864,0,0.0719675904825326,0.0848947541682544,0,0,0,-0.194735947925774,0,0,-0.32531933712758,0,0,0,0,0,0,0,0,0.524036505315533,0,0,0,0,0,0,0.0679917701858034,0,0,0,0,0.115353108443257,0.035915842088031,0,0,0,0.0859755258353861,0.144942521219304,0,0,0,0,-0.0420299699288129,0
X600036.CH.EQUITY,0.208079376010571,0.173976722360716,0,0,0,0,0.370643343792697,0,0,0,0,0.056505304481866,0,0.000778290036389823,0,-0.0831293848959936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.45787955480442e-05,0,0,0,0,0.246472909158039,0,0,0.145423697187392,0,0,0.0541369559671753,0,0,0,0,0.0191425430773815,0,0,-0.113448289541293,0,0
X601166.CH.EQUITY,0.156664279369504,0.117761556684932,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.385652699246092,0.0901936470312294,0,0,0.018941896256562,0,0,0,0,0,0,0,0,0.00801836273961923,0,0,0,0.0165617717662107,0,0,0,0,0,0,0,0,0,0,0.0454207375587475,0,0,0.0142533996060301,0,0,0,0,0,0,0,0,0,-0.0367211161684231
X601169.CH.EQUITY,0.0369395161458952,0,0,0.428554508044646,0.369780014544977,0,0,0.0311249107976919,0,0,0,0,0,0,0,0,0,0.144591536479612,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147073149915026,0,0,0,0,0,-0.307117496237404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0.0741399414476043,0,0,0,0,0.405792740100143,0,0,0,0,0.399901442315368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184081955484684,0,0,0,-0.262331985265212,0,0.205576992364968,0,0,0,0,0,-0.178772107863615,0,0,0,0,0,0,0,0,0,0,0.0287123615786189,0.0246692416353969,0,-0.0612028585366488
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0927566420662473,0.0634401051356183,0.477838688432428,0.00785138639818775,0.0694344879512423,0.0710382545153435,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0554737989853185,0,0,0,0.07418674933158,0.0237456388585891,0,0.0267978906729812,0,0,0.109295451617561,0,0,0,0,0,0,0,0.0213577191132144,0,0,0,0
X601328.CH.EQUITY,0,0,0.2910126239454,0.126907554961215,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.139456065984579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191918377819703,0,0,0,0,0,0,0,0,0.148640837493342,0,0,0,0,0
X601398.CH.EQUITY,0,0.0329463526353445,0,0,0.0561194291469256,0,0,0,0.00218081225724613,0,0,0,0.265733555298611,0.460851154155665,0.0903332842852234,0.054617143367307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0128223745003903,0,0,0,0,0,0,0,0,0,0,0,0.0856186513293031,0,0,0,0,0
X601818.CH.EQUITY,0,0.271955496462764,0,0,0,0.278473948652683,0,0,0.222296301737163,0,-0.12503692650309,0,0,0,0.295176845547234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00645466718360191,0,0,0,0.0194157861176646,0,-0.0106720201025578,0.00111710375545471,0.0438184450263198,0,0,0,0,0,0,0,0,0,0.000993939681849139,0,0,0.189827248867692,0.0968845830123299
X601939.CH.EQUITY,0,0,0,0.0471894018294478,0,0,0.0960024014960241,0,0,0.0921147627604206,0.530938667370918,0.16273606776162,0,0.0555399088424588,0,0,0,0,0,0,0,0,-0.163373326012072,0,0,0,0,0,0,0,0,0.120357659016916,0,0,0,0,0,0,-0.062718561469263,0.0568848158525076,0,0,0,0,0,0,0,0,0.190844190859143,0,0,0.200748925586884,0.0963950997536361
X601988.CH.EQUITY,0.209627595013265,0,0,0,0,0,0,0,0.35811103489182,0.150751264593825,0.0404181723319691,0,0.0903143822478115,0,0.0266066326396073,0,0.00951883346799586,0,2.71050543121376e-20,0,0,0,0,0,0,0,0.0179313004021672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125442805116025,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0,-0.0740074744393176,0,0,0.343318928245361,0,0,0.36617512986135,0,0.129778774396387,0,0,0,0,0,0,0,0,0,0,0,0,0.15366109204311,0,0,0,0,0,0,0,0,0,0.235284919310526,0.0716410397618418,0,0.114339462815469,-0.0218197158751106,0,0,0,0,0,0,0,0,0,-0.0402265416740956,0,0.0335886341858248
X601658.CH.Equity,0.14267328513789,0,0,0,0,0.214314217261017,-0.327986033014082,0,0.255274868559003,0.41419446382551,0,0,0,0.236863955086652,0,0,0,0,0,0,0,0,0.27008520884318,0,0,-0.31393919509966,0,0,0,0,0,0,0,0,0,0.0625090554370663,-0.0803613313390828,0,0.0164093980696122,0.0218458873740046,0,0,0,0,0,0,0,0,-0.0229376449210832,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.157695672985793,0,0,0,0,0.216868407921454,0.516033661718286,0,0,0,0,0,0,0,0,0,0,0,0.0179849405179259,0,0,0,0,0,0.0989776573935722,0.0412622937489733,0,0,0,0,0.0505973386085411,0,0,0,0.00416326060719305,0.105171925684891,0.140676299295418,0,0,-0.222656818653634,0
