,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.410653634118589,0,0,0,0.263352210302171,0,0,0.0987224970385916,0,0.0303681175265167,0,-0.0763263917300877,0,0,0,0,0,0,0,0,0.0196424585237998,0,0,0,0,-0.0502917556046519,0,0,0,0,0,0,0.0204985183916127,0,0,0,0,0,0,0.0677493077257476,0,0,0.159189302637648,0,0,0,0,0,0.0869421959544236,0.0582561963480259,0,0
X002142.CH.EQUITY,0.181495573347033,0,0,0.0585103972646917,0,0.694166452484387,-0.0536405048662113,0.161688620276537,0,0.128675037286189,0,0,-0.0125172558492809,0,0,0,0,0,0,0,0,0,0.0559325684243414,0,0,-0.200657114135987,0,0,-0.053185009575535,0,0,0,0,0,0,1.73472347597681e-18,0,0,-0.118898984695397,0.0120213496164049,-0.0814622384760398,0,0,-0.084085080020106,-0.100640402368025,0,0,0,0,0.156583238532037,0,0,0.10850576801077
X600000.CH.EQUITY,0,-0.0910427562786684,0,0,0,0,0,0,0.0717105541950768,0,0,0.22297405907205,0,0,-0.164906535216391,0,0.55504507409223,0,0.0341690161020698,0,-1.73472347597681e-18,0.36054760617016,0,0,0,0,0,0,0,0,0,0,-0.0637558347644196,0,0,0,0.211196633905804,0,0,0.0628693200497455,0,0,0,0,0,0,0,0,0,0,0,-0.0604778719206109,0.0342716067099513
X600015.CH.EQUITY,0,0,0,0,0,0,0,0.115003977026812,0.102008915623362,0,0,0,0,0,0,0,0.297016846827204,0.0935455479163178,0,0,0.0416886452976071,0,0,0,0,0,0,-0.048445824239926,0,0,0,-0.0724276004672946,0,0,0,0,0,0,0.214072626263627,0.182390641599475,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0
X600016.CH.EQUITY,0,0,0,0.118247666849151,0,0,0,-0.0606214071446248,0.0753952631835613,0,0,0,0,0,0,0.0449987411298387,0,0,0,0,0,0,0,0,0,0.195447486596835,0,0.177618120525145,0,0,0,0,0,0,0.491838432130215,0,0,0.141161477055472,-0.345483435037924,0,0,0,0,0,0,-0.213768618511532,0,0,0,0,0,0.150723198854723,-0.0350108283349775
X600036.CH.EQUITY,0.134209520501037,0.232527506185052,0,0,0,0,0,0.0398818108664954,0,0.285411846567231,0,0,0,0.0723759286872551,0.0662706766453498,0.0989885361255163,0,0,0.056224529075171,0,0,0,0.113513028978233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251428617043346,0.128987180330992,0,0,0,0,-0.0272368329240014,0,-0.0429874256541639,0,0,0
X600919.CH.EQUITY,0.147964209354257,0,0,0,0,0,0,0,0.243004563282404,0,0,0,0,0,0,0,0,0.225959730420164,0,0,0.00945854898019871,0,0,0.180230406459461,0,0,0.0983822575327467,0,0,0,0,0,0,-0.0464024275362922,0,0,0,0,0,0.129508838084934,0,-0.0729546226516681,0,0,0.00799116122097637,0,0,0,0,0,0,0,0
X600926.CH.EQUITY,0,0.119071615271722,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0893813959384099,0,0.585273485868781,0,-0.0150345920843378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.174603620070863,-0.0226518387290302,0,0,0,0,0,0,0.155556214384083,0,0,-0.122706316075906,0,0,-0.056052363651665,0.0594709715728329,0.194861861973926
X601009.CH.EQUITY,0.0437030218717272,0.146914559422889,0.439271495308376,-3.46944695195361e-18,0,0,0,0.0382081636697879,0,0,0,0.074382609678204,0,0,0,0.0828118914914794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0568515222279761,0,0,0,0,0.121895376977308,0.0350789151488808,0,0,-0.0206559697323616,0,0.0426448606452557,0,0
X601166.CH.EQUITY,0.0746862529474959,0.223248851273936,0.0427572021971227,0,0,0.149785390940495,0,0,0,0,0,0.17391030172391,0,0,0,0,0,0,0,0,0.404303016040123,0,0,0,0,0,0,0,0,-0.00887103611342943,0,0,0,0,0.269858974626113,0,0,0,0,0,0,0,0,0,-0.102225654359964,0,-0.0442109396932066,0,0,2.16840434497101e-19,-0.0627914647771848,0,0
X601169.CH.EQUITY,0,0,0,0,0,0,0.0923683309831448,0,0,0.107785946192958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173791404688666,0,0.157409596706083,0,0.116704806098153,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0.0423202687581217,0.1030400491583,0,-0.031319090882488,0,0,0.166926725213469,0,0,0,0,-0.148269310539669,0.551066508353973,-0.0913325933238991,0,0,0,0,0,0.112608138646661,0,0,0,0,0.0676397495699318,0,0,0,0,0,0,0,-0.0437642309382027,0.0192947264048266,0.423478745580271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179076001451434,0,0.113977546465687,0,0.0314060049695421,0,0,0,0,0,0,0,0,0,0.143734022889045,0,0,0,0,0,0,0,0.203721962470517,0,0,0,0,-0.0491368924590321,0,0,0,0.0645612023867073,-0.171006921922717
X601328.CH.EQUITY,0,0,0.223539941355189,0,0.0852510138312982,0.161257063377197,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.0590118942773075,0,0,0,0,0,0,0,0,0,0,0,-0.0314492477453996,0,0,0,0,0,0,0,0.0481431847810346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,-0.274738773754635,0,-0.118992358323402,0,0,0,0,0,0,0,0,0.99603001805893,0,0,0,0.079826065412775,0,0,0,0,0,0,0,0,0,0.205872606371197,-0.226957689942861,0,0,0,0,0,0,0,-0.0104411084960602,0,0,0,0,0,0,0,0,-0.149417706651099,0.141434716888115,0,0,0,0,-0.195025512224129,0,0,0
X601577.CH.EQUITY,0,-0.00108412917899303,0,0,0.404110898059981,0,0,0,0,0,0,0,0,0,0.612597110468463,0,0,0.212274768306017,0,0,0,0,0.0239636944915887,0,0,0,-0.546215598142479,0,0,0,0,0,0,0,-0.00394588611006105,0,0,0,0,0,0,0,0,0,0,0,0,0.314197884953037,0,0,-0.101073670015741,0,0
X601818.CH.EQUITY,0,0,1.29879204702143,0,-0.119055555663814,-0.0942335018147459,0,0,0,0,0,0,0,0,0,-0.0737285319983923,0,0,0,0,-0.014465117218757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.22700305016751,0,0,0,0,0,-0.0170165019215076,0,-0.123201662509886,0,0,0,0,0,-0.00260829626280621,-0.09619514323572,0
X601838.CH.EQUITY,0,0.0210688066338337,0,0.175917095969393,0,0,0.249245900610838,0.0204463235250071,0,0,0,0,0,0,0.257118167742747,0.110900198633856,0,0,0,0,0,0,0.140464513398722,0,0,0,0,-0.0377378515405567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171644389132395,0,0,0,0,0,0,0.0824993470684236,-0.135642687978788,0,0
X601939.CH.EQUITY,0,0,0.0762093761219624,0,0,0,0,0,0,-0.139330111128248,0,0,0,0,0,0,0,0.0110521707178029,0,0,0.0210731153413662,0,0.127505392836982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.711524570892705,0,0.575831847382121,0.315978261486365,0,-0.0461048204994153,-0.0124884974073072,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323943632448828,0,0.0718231323950295,0.176946780588668,0,0,0,0,0,0,0,-0.134870233267294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0.400039845517741,0,0,0.143275299793269,0.0990165973533041,0,0,0,0,0,0,0,0,0.0433874453719784,0,0,0,0,0,0.0389504741182961,-0.128674034839926,0,0,0.0849868563528499,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235612096985255,0,0,0,0,0,0,0,-0.0809590533814739,0,0,0,-0.135649327603122,1.73472347597681e-18
X601658.CH.Equity,0,0,0.0414332557344819,0,4.33680868994202e-19,0,-0.200295310829866,0,0.516132762025692,0,0,0.144800846032687,0.050935127053228,0,0,0,0,0,0,0,0,0,0.104645381717295,-0.132103697800985,0,0,-0.0167654536081711,-0.26878653461839,0,0,0.138114996698326,0,0,0,0,0,0,0,0,0,-0.145310425891416,0,0,0,0,0,0,0,0,0,0,0,0
X601916.CH.Equity,0,0.166188600823989,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0.181214424230327,0,0,0.072285915438827,0,0,0.266357984939636,0,0,0.134440695483007,0,0.347230000733786,0,0,0,0,0.0215916357096953,0,0,0.408974877055877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0564576269210927
X601077.CH.Equity,0,0,0,0,0,0,0,0,0,0.210344356717028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.121002797351938,0,0,0,0.0507446722023364,0,0,0,0,0,0.0389019672938082,0,0,0,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0.110216330501044,0,0,0,0,0,0,0.0504052716712163,0,0,0.0601065226225783,0,0,0,0,0.0288469538929653,0.00273187163963114,0,0,0,0,0.600303301139824,0,0,0.0807613598242877,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.147678273058383,0.154393834974217,0,0.134137387975742,0,0,0.0601196304448574,0,0,0.00341761945862584
X2388.HK.EQUITY,0,0,0,0,0.0460705322534651,0,0,0,0,0,0,0,0,0,0.0182816582866975,0,0,0,0,0.0249739098430834,0.0187781924983696,0,0,0.00383631394485909,0.374177366479996,0,0,0,0,-0.183300963120316,0.128168111309229,0,0,0.0400647630042581,0,-3.46944695195361e-18,0,0,0,0,0,0.0371236530076623,0,0,0.215377588198876,0,0,0.093638281500343,0,0.26429306967388,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0.133033164791489,-0.290507683804055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176742179905358,0.440319294145913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227826418312492,0,0,0,0,0.0676079058198382,0,0.0251624368432753,0.052854346029431,0,0,0,0.0419534107027409,-0.0333003890738731
X2880.TT.EQUITY,0,0,0,0,0.0805260491894343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127797673684666,0,0,0.00570615198446657,0,0,-0.116842278727636,0,0.144434715262422,0.252652664708236,0,0.165032353062942,0.3275577652996,0,0,0,0,0.140038336220313,0,0,0,0,0,-0.042919720677532,0,0,0,0,0.0299492289883806,0,0,0,0
X2884.TT.EQUITY,0,0,0.0042972031892781,0,0,0,0,0,-0.0110162365390122,0,0,0,0,0,0,0,0,0.0688963781563064,-0.108669762934844,0,0,0,0,0,0.0111218769025159,0.0305580780994732,0,0,0,0,0,0.557125228240042,0.221196926418213,0,0,0,0,0,0,0,0,0,0,-0.0805961067764966,0,0.0330525816631653,0,0,0.127298761238614,0,-8.67361737988404e-19,0,0
